source_row_number,source_sheet_name,Unnamed: 2,pinyin,MC (NWH),MC (B&S),GSR,漢語大字典,廣韻,Unnamed: 9,normalized_character,normalized_pinyin,normalized_mc_nwh,normalized_mc_bs,normalized_gsr,normalized_hanyu_dazidian,normalized_guangyun
68,Feuil1,恀,shi4,cieX,tsyeX,0003h,42298.040,240.38 241.07 245.40,20,恀,shi4,cieX,tsyeX,0003h,42298.040,240.38 241.07 245.40
69,Feuil1,侈,chi3,chieX,tsyheX,0003i,10151.080,245.27,6,侈,chi3,chieX,tsyheX,0003i,10151.080,245.27
70,Feuil1,拸,chi3,ṭhieX,trhjeX,0003j,31874.050,041.39,6,拸,chi3,ṭhieX,trhjeX,0003j,31874.050,041.39
71,Feuil1,哆,chi3,chiaeX,tsyhaeX,0003k,10620.080,169.26 245.41 304.11 309.48 358.25 419.23 422.18,48,哆,chi3,chiaeX,tsyhaeX,0003k,10620.080,169.26 245.41 304.11 309.48 358.25 419.23 422.18
72,Feuil1,誃,chi2,ḍie,drje,0003l,63969.050,049.32 245.31,13,誃,chi2,ḍie,drje,0003l,63969.050,049.32 245.31
73,Feuil1,誃,chi3,chieX,tsyheX,0003l,63969.050,049.32 245.31,13,誃,chi3,chieX,tsyheX,0003l,63969.050,049.32 245.31
74,Feuil1,趍,chi2,ḍie,drje,0003m,53486.090,049.23 077.28,13,趍,chi2,ḍie,drje,0003m,53486.090,049.23 077.28
75,Feuil1,陊,duo4,ḍieX,drjeX,0003o,64127.030,244.08 304.20,13,陊,duo4,ḍieX,drjeX,0003o,64127.030,244.08 304.20
76,Feuil1,移,yi2,yie,ye,0003q,42603.200,041.16,6,移,yi2,yie,ye,0003q,42603.200,041.16
77,Feuil1,移,yi4,yieH,yeH,0003q,42603.200,041.16,6,移,yi4,yieH,yeH,0003q,42603.200,041.16
78,Feuil1,迻,yi2,yie,ye,0003r,63831.030,041.18,6,迻,yi2,yie,ye,0003r,63831.030,041.18
79,Feuil1,㢋,chi3,chieX,tsyheX,0003t,20888.100,245.32,6,㢋,chi3,chieX,tsyheX,0003t,20888.100,245.32
80,Feuil1,它,ta1,tha,tha,0004a,20910.030,160.46,6,它,ta1,tha,tha,0004a,20910.030,160.46
81,Feuil1,弛,chi2,śie,sye,0004a',20991.130,245.42,6,弛,chi2,śie,sye,0004a',20991.130,245.42
82,Feuil1,弛,chi2,śieX,syeX,0004a',20991.130,245.42,6,弛,chi2,śieX,syeX,0004a',20991.130,245.42
83,Feuil1,地,di4,diyH,dijH,0004b',10420.120,355.27,6,地,di4,diyH,dijH,0004b',10420.120,355.27
84,Feuil1,他,ta1,tha,tha,0004c',10115.060,160.44,6,他,ta1,tha,tha,0004c',10115.060,160.44
85,Feuil1,扡,tuo1,tha,tha,0004d',31832.050,244.29,6,扡,tuo1,tha,tha,0004d',31832.050,244.29
86,Feuil1,髢,di2,deyH,dejH,0004e',74518.120,371.49,6,髢,di2,deyH,dejH,0004e',74518.120,371.49
87,Feuil1,㐌,ta1,tha,tha,0004f,10036.020,,0,㐌,ta1,tha,tha,0004f,10036.020,
88,Feuil1,拖,duo4,daX,daX,0004f',31853.080,420.05,6,拖,duo4,daX,daX,0004f',31853.080,420.05
89,Feuil1,拖,tuo1,tha,tha,0004f',31853.080,420.05,6,拖,tuo1,tha,tha,0004f',31853.080,420.05
90,Feuil1,拖,tuo4,thaH,thaH,0004f',31853.080,420.05,6,拖,tuo4,thaH,thaH,0004f',31853.080,420.05
91,Feuil1,也,ye3,yaeX,yaeX,0004g,10050.050,307.40,6,也,ye3,yaeX,yaeX,0004g,10050.050,307.40
92,Feuil1,胣,yi3,yieX,yeX,0004g',32061.020,,0,胣,yi3,yieX,yeX,0004g',32061.020,
93,Feuil1,佗,tuo1,da,da,0004h,10139.030,160.10 160.43,13,佗,tuo1,da,da,0004h,10139.030,160.10 160.43
94,Feuil1,佗,tuo1,thaH,thaH,0004h,10139.030,160.10 160.43,13,佗,tuo1,thaH,thaH,0004h,10139.030,160.10 160.43
95,Feuil1,袘,yi2,yie,ye,0004h',53083.080,,0,袘,yi2,yie,ye,0004h',53083.080,
96,Feuil1,拕,tuo1,tha,tha,0004i,31858.070,160.45 304.22,13,拕,tuo1,tha,tha,0004i,31858.070,160.45 304.22
97,Feuil1,拕,tuo1,thaH,thaH,0004i,31858.070,160.45 304.22,13,拕,tuo1,thaH,thaH,0004i,31858.070,160.45 304.22
98,Feuil1,迤,yi2,yie,ye,0004i',63825.030,,0,迤,yi2,yie,ye,0004i',63825.030,
99,Feuil1,紽,tuo2,da,da,0004j,53386.040,159.37,6,紽,tuo2,da,da,0004j,53386.040,159.37
100,Feuil1,㢮,chi2,śieX,syeX,0004j',20992.220,,0,㢮,chi2,śieX,syeX,0004j',20992.220,
101,Feuil1,沱,tuo2,da,da,0004k,31594.020,159.42 304.23,13,沱,tuo2,da,da,0004k,31594.020,159.42 304.23
102,Feuil1,𨠑,yi2,yie,ye,0004k',63579.020,,0,𨠑,yi2,yie,ye,0004k',63579.020,
103,Feuil1,蛇,yi2,yie,ye,0004l,42845.080,041.42 160.47 165.34,20,蛇,yi2,yie,ye,0004l,42845.080,041.42 160.47 165.34
104,Feuil1,蛇,she2,jiae,dzyae,0004l,42845.080,041.42 160.47 165.34,20,蛇,she2,jiae,dzyae,0004l,42845.080,041.42 160.47 165.34
