gsc_id,rhyme_section,series_number,schuessler_k_tokens,schuessler_source_page,schuessler_cross_reference_only,in_tex,tex_character_count,tex_characters_sample,mand2mc_row_count,mand2mc_character_count,mand2mc_characters_sample,bs_gsr_row_count,bs_gsr_character_count,bs_gsr_characters_sample,combined_source_character_count,combined_source_characters_sample
04-10,4,10,989,119,no,no,0,,1,1,逵,0,0,,1,逵
04-11,4,11,991,119,no,no,0,,1,1,怪,0,0,,1,怪
04-12,4,12,992,119,no,no,0,,17,17,九; 頄; 宄; 氿; 軌; 匭; 馗; 鳩; 究; 仇,5,5,九; 頄; 軌; 鳩; 仇,17,九; 頄; 宄; 氿; 軌; 匭; 馗; 鳩; 究; 仇
04-13,4,13,993,120,no,no,0,,8,7,久; 灸; 玖; 疚; 㝌; 羑; 柩,4,4,久; 灸; 㝌; 柩,7,久; 灸; 玖; 疚; 㝌; 羑; 柩
04-14,4,14,994,120,no,no,0,,2,2,丘; 蚯,2,2,丘; 蚯,2,丘; 蚯
04-15,4,15,1066,120,no,no,0,,11,11,求; 裘; 球; 捄; 絿; 觩; 賕; 逑; 銶; 救,5,5,求; 裘; 球; 逑; 救,11,求; 裘; 球; 捄; 絿; 觩; 賕; 逑; 銶; 救
04-16,4,16,1067,120,no,no,0,,4,4,臼; 舅; 舊; 匶,3,3,臼; 舅; 舊,4,臼; 舅; 舊; 匶
04-17,4,17,995,120,no,no,0,,17,14,又; 郁; 友; 右; 佑; 祐; 醢; 有; 侑; 宥,11,9,又; 郁; 友; 右; 佑; 祐; 有; 囿; 賄,14,又; 郁; 友; 右; 佑; 祐; 醢; 有; 侑; 宥
04-18,4,18,996,121,no,no,0,,4,4,尤; 訧; 疣; 肬,2,2,尤; 訧,4,尤; 訧; 疣; 肬
04-19,4,19,997,121,no,no,0,,1,1,郵,0,0,,1,郵
04-20,4,20,950,121,no,no,0,,4,3,灰; 恢; 脄,0,0,,3,灰; 恢; 脄
04-21,4,21,955,121,no,no,0,,10,10,喜; 憘; 嘻; 譆; 嬉; 暿; 熺; 熹; 糦; 饎,2,2,喜; 熹,10,喜; 憘; 嘻; 譆; 嬉; 暿; 熺; 熹; 糦; 饎
04-22,4,22,958,121,no,no,0,,1,1,醫,0,0,,1,醫
04-23,4,23,956,122,no,no,0,,11,8,疑; 儗; 嶷; 擬; 薿; 觺; 礙; 凝,3,3,疑; 擬; 凝,8,疑; 儗; 嶷; 擬; 薿; 觺; 礙; 凝
04-24,4,24,998,122,no,no,0,,1,1,牛,1,1,牛,1,牛
04-25,4,25,939,122,no,no,0,,1,1,臺,1,1,臺,1,臺
04-26,4,26,961,122,no,no,0,,26,25,止; 旹; 詩; 邿; 趾; 待; 沚; 特; 等; 芷,13,13,止; 詩; 趾; 待; 特; 等; 祉; 齒; 寺; 持,25,止; 旹; 詩; 邿; 趾; 待; 沚; 特; 等; 芷
04-27,4,27,962,123,no,no,0,,5,5,之; 芝; 蚩; 志; 誌,4,3,之; 志; 誌,5,之; 芝; 蚩; 志; 誌
04-28,4,28,963,123,no,no,0,,1,1,市,1,1,市,1,市
04-29,4,29,961,123,no,no,0,,26,25,止; 旹; 詩; 邿; 趾; 待; 沚; 特; 等; 芷,13,13,止; 詩; 趾; 待; 特; 等; 祉; 齒; 寺; 持,25,止; 旹; 詩; 邿; 趾; 待; 沚; 特; 等; 芷
04-30,4,30,976,123,no,no,0,,40,33,㠯; 眙; 以; 笞; 鈶; 枲; 始; 苢; 苡; 似,19,17,㠯; 以; 鈶; 枲; 始; 似; 胎; 耜; 矣; 殆,33,㠯; 眙; 以; 笞; 鈶; 枲; 始; 苢; 苡; 似
04-31,4,31,977,124,no,no,0,,2,2,已; 异,2,2,已; 异,2,已; 异
04-32,4,32,967,124,no,no,0,,4,4,巳; 祀; 汜; 戺,2,2,巳; 祀,4,巳; 祀; 汜; 戺
04-33,4,33,968,124,no,no,0,,2,1,辭,1,1,辭,1,辭
04-34,4,34,960,124,no,no,0,,7,6,頤; 巸; 姬; 茝; 熙; 𩟄,4,4,𦣞; 姬; 茝; 熙,7,頤; 巸; 姬; 茝; 熙; 𩟄; 𦣞
04-35,4,35,978,125,no,no,0,,9,9,里; 梩; 理; 裏; 貍; 狸; 鯉; 埋; 霾,9,8,里; 理; 裏; 貍; 鯉; 埋; 薶; 霾,10,里; 梩; 理; 裏; 貍; 狸; 鯉; 埋; 霾; 薶
04-36,4,36,979,125,no,no,0,,7,7,𠭰; 嫠; 孷; 氂; 犛; 斄; 釐,0,0,,7,𠭰; 嫠; 孷; 氂; 犛; 斄; 釐
04-37,4,37,980,125,no,no,0,,1,1,李,1,1,李,1,李
04-38,4,38,945,125,no,no,0,,7,7,乃; 鼐; 仍; 扔; 艿; 芿; 孕,3,3,乃; 仍; 孕,7,乃; 鼐; 仍; 扔; 艿; 芿; 孕
04-39,4,39,946,125,no,no,0,,1,1,迺,0,0,,1,迺
04-40,4,40,981; 959,125,no,no,0,,11,9,耳; 刵; 珥; 衈; 佴; 咡; 餌; 眲; 恥,4,3,耳; 餌; 恥,9,耳; 刵; 珥; 衈; 佴; 咡; 餌; 眲; 恥
04-41,4,41,982,126,no,no,0,,11,9,而; 栭; 聏; 胹; 鴯; 鮞; 耐; 𨼏; 陾,2,2,而; 耐,9,而; 栭; 聏; 胹; 鴯; 鮞; 耐; 𨼏; 陾
04-42,4,42,940,126,no,no,0,,2,2,災; 灾,2,2,災; 灾,2,災; 灾
04-43,4,43,941,126,no,no,0,,1,1,再,1,1,再,1,再
04-44,4,44,942,126,no,no,0,,4,4,彩; 采; 採; 菜,5,4,采; 彩; 採; 菜,4,彩; 采; 採; 菜
04-45,4,45,943,126,no,no,0,,19,16,才; 載; 裁; 胾; 戴; 材; 財; 在; 𢦒; 𢦏,17,13,才; 載; 裁; 戴; 材; 財; 在; 𢦒; 𢦏; 豺,16,才; 載; 裁; 胾; 戴; 材; 財; 在; 𢦒; 𢦏
04-47,4,47,964,127,no,no,0,,7,6,子; 𢀇; 仔; 孜; 耔; 字,3,2,子; 字,6,子; 𢀇; 仔; 孜; 耔; 字
04-48,4,48,965,127,no,no,0,,2,2,梓; 宰,1,1,梓,2,梓; 宰
04-49,4,49,966,127,no,no,0,,7,7,玆; 茲; 嗞; 滋; 鎡; 慈; 孳,2,2,滋; 慈,7,玆; 茲; 嗞; 滋; 鎡; 慈; 孳
04-50,4,50,969,127,no,no,0,,8,7,甾; 葘; 菑; 輺; 輜; 鍿; 錙,1,1,緇,8,甾; 葘; 菑; 輺; 輜; 鍿; 錙; 緇
04-51,4,51,970,128,no,no,0,,2,2,士; 仕,2,2,士; 仕,2,士; 仕
04-52,4,52,975; 971,128,no,no,0,,7,6,史; 吏; 𣬔; 使; 事; 剚,5,4,史; 吏; 使; 事,6,史; 吏; 𣬔; 使; 事; 剚
04-53,4,53,972,128,no,no,0,,7,6,司; 伺; 笥; 祠; 詞; 嗣,5,5,飼; 司; 祠; 詞; 嗣,7,司; 伺; 笥; 祠; 詞; 嗣; 飼
04-54,4,54,973,128,no,no,0,,8,6,思; 緦; 葸; 諰; 颸; 偲,1,1,思,6,思; 緦; 葸; 諰; 颸; 偲
04-55,4,55,974,129,no,no,0,,1,1,絲,1,1,絲,1,絲
04-56,4,56,951,129,no,no,0,,2,2,佩; 珮,1,1,佩,2,佩; 珮
04-57,4,57,983,129,no,no,0,,2,2,啚; 鄙,1,1,鄙,2,啚; 鄙
04-58,4,58,1237a',129,no,no,0,,0,0,,0,0,,0,
04-59,4,59,1237r,129,no,no,0,,2,1,奰,0,0,,1,奰
04-61,4,61,999,129,no,no,0,,35,26,不; 培; 倍; 掊; 否; 踣; 鞛; 紑; 蔀; 罘,6,6,不; 倍; 否; 丕; 杯; 部,26,不; 培; 倍; 掊; 否; 踣; 鞛; 紑; 蔀; 罘
04-62,4,62,1000,130,no,no,0,,3,3,負; 偩; 萯,1,1,負,3,負; 偩; 萯
04-63,4,63,1001,130,no,no,0,,1,1,婦,1,1,婦,1,婦
04-64,4,64,947,130,no,yes,1,毋,20,15,母; 姆; 拇; 坶; 每; 梅; 脢; 鋂; 畮; 痗,9,9,母; 姆; 每; 梅; 畮; 悔; 晦; 誨; 海,15,母; 姆; 拇; 坶; 每; 梅; 脢; 鋂; 畮; 痗
04-65,4,65,948,131,no,no,0,,5,5,某; 媒; 煤; 禖; 謀,3,3,某; 媒; 謀,5,某; 媒; 煤; 禖; 謀
04-66,4,66,949,131,no,no,0,,1,1,畝,1,1,畝,1,畝
05-01,5,1,903,132,no,no,0,,3,3,克; 尅; 剋,1,1,克,3,克; 尅; 剋
05-02,5,2,931,132,no,no,0,,2,2,革; 愅,2,1,革,2,革; 愅
05-03,5,3,1260a,132,no,no,0,,1,1,覈,1,1,覈,1,覈
05-04,5,4,910,132,no,no,0,,5,4,亟; 㥛; 殛; 極,2,2,亟; 極,4,亟; 㥛; 殛; 極
05-05,5,5,911,132,no,no,0,,2,2,棘; 襋,1,1,棘,2,棘; 襋
05-06,5,6,929,132,no,no,0,,20,16,或; 域; 棫; 罭; 閾; 淢; 窢; 緎; 國; 惑,8,7,或; 域; 淢; 國; 惑; 馘; 彧,16,或; 域; 棫; 罭; 閾; 淢; 窢; 緎; 國; 惑
05-07,5,7,930,133,no,no,0,,5,3,洫; 侐; 殈,1,1,洫,3,洫; 侐; 殈
05-08,5,8,914,133,no,no,0,,1,1,衋,0,0,,1,衋
05-09,5,9,915,133,no,no,0,,1,1,抑,1,1,抑,1,抑
05-10,5,10,957,133,no,no,0,,11,9,意; 噫; 鷾; 醷; 億; 憶; 檍; 繶; 臆,4,4,意; 億; 憶; 臆,9,意; 噫; 鷾; 醷; 億; 憶; 檍; 繶; 臆
05-11,5,11,905,133,no,no,0,,1,1,得,1,1,得,1,得
05-12,5,12,919,133,no,no,0,,12,9,直; 稙; 埴; 殖; 植; 犆; 置; 值; 德,12,9,直; 稙; 埴; 殖; 植; 犆; 置; 值; 德,9,直; 稙; 埴; 殖; 植; 犆; 置; 值; 德
05-13,5,13,920,134,no,no,0,,12,8,戠; 樴; 織; 職; 膱; 幟; 識; 熾,7,6,戠; 樴; 織; 職; 識; 熾,8,戠; 樴; 織; 職; 膱; 幟; 識; 熾
05-14,5,14,916,134,no,no,0,,1,1,陟,1,1,陟,1,陟
05-15,5,15,917,134,no,no,0,,2,2,敕; 勅,1,1,勅,2,敕; 勅
05-16,5,16,918,134,no,no,0,,17,16,弋; 㚤; 杙; 式; 忒; 貣; 代; 拭; 軾; 侙,10,9,袋; 弋; 式; 忒; 代; 拭; 試; 弒; 貸,17,弋; 㚤; 杙; 式; 忒; 貣; 代; 拭; 軾; 侙
05-17,5,17,954,135,no,no,0,,6,5,異; 翼; 廙; 趩; 瀷,2,2,異; 翼,5,異; 翼; 廙; 趩; 瀷
05-18,5,18,912,135,no,no,0,,2,2,翊; 翌,3,2,翊; 翌,2,翊; 翌
05-19,5,19,921,135,no,no,0,,6,5,食; 蝕; 飤; 飭; 飾,5,4,食; 蝕; 飤; 飾,5,食; 蝕; 飤; 飭; 飾
05-20,5,20,913,135,no,no,0,,2,2,奭; 襫,3,2,奭; 襫,2,奭; 襫
05-21,5,21,928,135,no,no,0,,7,6,力; 仂; 扐; 阞; 勒; 泐,3,2,力; 勒,6,力; 仂; 扐; 阞; 勒; 泐
05-23,5,23,907,136,no,no,0,,1,1,賊,1,1,賊,1,賊
05-24,5,24,906,136,no,no,0,,5,5,則; 側; 惻; 測; 廁,5,4,則; 側; 測; 廁,5,則; 側; 惻; 測; 廁
05-25,5,25,922,136,no,no,0,,4,3,畟; 稷; 謖,1,1,稷,3,畟; 稷; 謖
05-26,5,26,923,136,no,no,0,,5,4,即; 蝍; 堲; 䳭,2,2,即; 堲,4,即; 蝍; 堲; 䳭
05-27,5,27,924,136,no,no,0,,4,4,夨; 仄; 𣅔; 昃,6,6,夨; 𠨮; 仄; 𣅔; 昃; 𣅛,6,夨; 仄; 𣅔; 昃; 𠨮; 𣅛
05-28,5,28,908,136,no,no,0,,3,2,塞; 㥶,3,1,塞,2,塞; 㥶
05-29,5,29,925,136,no,no,0,,2,2,息; 熄,2,2,息; 熄,2,息; 熄
05-30,5,30,926,137,no,no,0,,2,2,嗇; 穡,2,2,嗇; 穡,2,嗇; 穡
05-31,5,31,927,137,no,no,0,,1,1,色,1,1,色,1,色
05-32,5,32,909,137,no,no,0,,4,3,北; 背; 偝,4,3,北; 背; 偝,3,北; 背; 偝
05-33,5,33,933,137,no,no,0,,17,12,畐; 福; 葍; 輻; 幅; 楅; 匐; 偪; 湢; 逼,14,10,畐; 福; 輻; 幅; 匐; 偪; 逼; 𠠦; 富; 副,13,畐; 福; 葍; 輻; 幅; 楅; 匐; 偪; 湢; 逼
05-34,5,34,984,138,no,no,0,,3,3,備; 犕; 憊,1,1,備,3,備; 犕; 憊
05-35,5,35,934,138,no,no,0,,5,3,𠬝; 服; 箙,6,3,𠬝; 服; 箙,3,𠬝; 服; 箙
05-36,5,36,935,138,no,no,0,,2,1,伏,2,1,伏,1,伏
05-37,5,37,1062,138,no,no,0,,4,3,冒; 媢; 瑁,4,3,帽; 冒; 媢,4,冒; 媢; 瑁; 帽
05-38,5,38,904,138,no,no,0,,5,5,黑; 墨; 默; 嘿; 纆,2,2,黑; 墨,5,黑; 墨; 默; 嘿; 纆
05-39,5,39,1037,138,no,no,0,,1,1,牧,1,1,牧,1,牧
06-01,6,1,881,139,no,no,0,,5,5,亙; 恆; 絚; 緪; 𡍷,1,1,恆,5,亙; 恆; 絚; 緪; 𡍷
06-02,6,2,882,139,no,no,0,,2,2,肎; 肯,0,0,,2,肎; 肯
06-03,6,3,888,139,no,no,0,,2,1,兢,1,1,兢,1,兢
06-04,6,4,901,139,no,no,0,,2,2,弓; 穹,1,1,弓,2,弓; 穹
06-05,6,5,887,139,no,no,0,,10,9,厷; 肱; 弘; 宏; 竑; 紘; 閎; 雄; 鞃,4,4,𠃋; 肱; 弘; 雄,10,厷; 肱; 弘; 宏; 竑; 紘; 閎; 雄; 鞃; 𠃋
06-06,6,6,889,140,no,no,0,,2,1,興,1,1,興,1,興
06-09,6,9,883,140,no,no,0,,8,8,豋; 登; 鐙; 燈; 隥; 鄧; 澄; 證,8,7,撜; 登; 豋; 鐙; 燈; 澄; 證,9,豋; 登; 鐙; 燈; 隥; 鄧; 澄; 證; 撜
06-10,6,10,896,140,no,no,0,,8,8,氶; 承; 㞼; 丞; 烝; 拯; 脀; 蒸,6,6,承; 丞; 烝; 拯; 脀; 蒸,8,氶; 承; 㞼; 丞; 烝; 拯; 脀; 蒸
06-11,6,11,891,140,no,no,0,,4,2,徵; 懲,2,2,徵; 懲,2,徵; 懲
06-12,6,12,894,140,no,no,0,,4,3,爯; 偁; 稱,2,1,稱,3,爯; 偁; 稱
06-13,6,13,893,141,no,no,0,,15,12,灷; 㑞; 朕; 栚; 媵; 賸; 塍; 勝; 滕; 縢,5,4,朕; 塍; 勝; 騰,12,灷; 㑞; 朕; 栚; 媵; 賸; 塍; 勝; 滕; 縢
06-14,6,14,945j,141,no,no,0,,1,1,孕,1,1,孕,1,孕
06-15,6,15,895,141,no,no,0,,2,1,乘,4,2,剩; 乘,2,乘; 剩
06-16,6,16,897,141,no,no,0,,5,4,升; 昇; 陞; 抍,4,3,升; 陞; 抍,4,升; 昇; 陞; 抍
06-17,6,17,898,141,no,no,0,,7,7,夌; 陵; 淩; 凌; 菱; 鯪; 蔆,4,3,夌; 陵; 凌,7,夌; 陵; 淩; 凌; 菱; 鯪; 蔆
06-18,6,18,885,141,no,no,0,,3,2,能; 態,4,2,能; 態,2,能; 態
06-19,6,19,884,142,no,no,0,,12,10,曾; 增; 憎; 橧; 罾; 矰; 繒; 層; 贈; 甑,6,5,曾; 憎; 層; 贈; 甑,10,曾; 增; 憎; 橧; 罾; 矰; 繒; 層; 贈; 甑
06-20,6,20,886,142,no,no,0,,9,9,朋; 倗; 傰; 鵬; 堋; 塴; 崩; 掤; 繃,4,4,棚; 朋; 堋; 崩,10,朋; 倗; 傰; 鵬; 堋; 塴; 崩; 掤; 繃; 棚
06-21,6,21,899,142,no,no,0,,5,4,冫; 冰; 馮; 憑,5,4,冫; 冰; 馮; 憑,4,冫; 冰; 馮; 憑
06-22,6,22,900,142,no,no,0,,2,1,凭,0,0,,1,凭
06-23,6,23,902,142,no,no,0,,9,6,夢; 㝱; 瞢; 甍; 蘉; 薨,2,2,夢; 薨,6,夢; 㝱; 瞢; 甍; 蘉; 薨
06-24,6,24,892; 1252d,143,no,no,0,,4,3,蠅; 繩; 黽,4,3,蠅; 繩; 黽,3,蠅; 繩; 黽
07-02,7,2,1241b,145,no,no,0,,1,1,繼,0,0,,1,繼
07-03,7,3,864,145,no,no,0,,15,13,支; 枝; 肢; 忮; 翅; 𢺵; 跂; 岐; 歧; 伎,8,7,支; 枝; 肢; 翅; 歧; 伎; 技,13,支; 枝; 肢; 忮; 翅; 𢺵; 跂; 岐; 歧; 伎
07-04,7,4,862,146,no,no,0,,2,1,企,0,0,,1,企
07-05,7,5,865,146,no,no,0,,6,5,只; 胑; 軹; 咫; 枳,2,2,胑; 咫,5,只; 胑; 軹; 咫; 枳
07-06,7,6,867,146,no,no,0,,9,8,氏; 坁; 扺; 舐; 疧; 疷; 祇; 軝,4,4,紙; 氏; 舐; 祇,9,氏; 坁; 扺; 舐; 疧; 疷; 祇; 軝; 紙
07-07,7,7,861,146,no,no,0,,7,5,解; 懈; 繲; 蟹; 邂,5,3,解; 蟹; 邂,5,解; 懈; 繲; 蟹; 邂
07-08,7,8,879,147,no,no,0,,34,26,圭; 睚; 窪; 珪; 桂; 閨; 窐; 鮭; 刲; 奎,15,12,鞋; 圭; 佳; 街; 厓; 崖; 涯; 卦; 挂; 絓,27,圭; 睚; 窪; 珪; 桂; 閨; 窐; 鮭; 刲; 奎
07-09,7,9,880,147,no,no,0,,8,6,巂; 𢥘; 攜; 蠵; 觿; 鑴,0,0,,6,巂; 𢥘; 攜; 蠵; 觿; 鑴
07-10,7,10,875,148,no,no,0,,4,4,規; 瞡; 窺; 闚,2,2,規; 窺,4,規; 瞡; 窺; 闚
07-11,7,11,873,148,no,no,0,,18,13,兒; 唲; 倪; 掜; 睨; 輗; 郳; 鯢; 霓; 蜺,3,3,兒; 麑; 鬩,13,兒; 唲; 倪; 掜; 睨; 輗; 郳; 鯢; 霓; 蜺
07-12,7,12,877,148,no,no,0,,24,17,帝; 揥; 諦; 啼; 蹄; 禘; 締; 啻; 嫡; 鏑,12,8,帝; 啼; 嫡; 蹢; 摘; 敵; 謫; 適,17,帝; 揥; 諦; 啼; 蹄; 禘; 締; 啻; 嫡; 鏑
07-13,7,13,863,149,no,no,0,,4,4,知; 智; 蜘; 踟,2,2,知; 踟,4,知; 智; 蜘; 踟
07-14,7,14,866,149,no,no,0,,30,18,是; 諟; 禔; 翨; 隄; 鞮; 醍; 緹; 堤; 媞,2,2,是; 提,18,是; 諟; 禔; 翨; 隄; 鞮; 醍; 緹; 堤; 媞
07-15,7,15,1238d,150,no,no,0,,1,1,卮,0,0,,1,卮
07-16,7,16,1238b,150,no,no,0,,1,1,豸,1,1,豸,1,豸
07-18,7,18,1238e,150,no,no,0,,1,1,咶,0,0,,1,咶
07-19,7,19,1238f,150,no,no,0,,1,1,豕,1,1,豕,1,豕
07-20,7,20,359,150,no,no,0,,15,11,爾; 邇; 嬭; 濔; 禰; 薾; 璽; 𤣔; 獮; 彌,9,6,爾; 璽; 𤣔; 獮; 彌; 瀰,11,爾; 邇; 嬭; 濔; 禰; 薾; 璽; 𤣔; 獮; 彌
07-21,7,21,878,151,no,no,0,,14,9,麗; 儷; 攦; 欐; 驪; 纚; 釃; 灑; 躧,3,2,麗; 灑,9,麗; 儷; 攦; 欐; 驪; 纚; 釃; 灑; 躧
07-22,7,22,1241o; 1241p; 1241q,151,no,no,0,,7,3,蠡; 劙; 攭,0,0,,3,蠡; 劙; 攭
07-23,7,23,1241r,151,no,no,0,,2,1,荔,0,0,,1,荔
07-24,7,24,872,151,no,no,0,,1,1,詈,1,1,詈,1,詈
07-25,7,25,358,151,no,no,0,,33,22,此; 佌; 庛; 跐; 雌; 䳄; 泚; 玼; 紫; 訾,4,4,此; 泚; 祡; 柴,22,此; 佌; 庛; 跐; 雌; 䳄; 泚; 玼; 紫; 訾
07-26,7,26,869,152,no,no,0,,6,5,斯; 凘; 廝; 嘶; 撕,2,1,斯,5,斯; 凘; 廝; 嘶; 撕
07-27,7,27,870,152,no,no,0,,8,5,虒; 褫; 篪; 嗁; 遞,4,4,虒; 篪; 嗁; 遞,5,虒; 褫; 篪; 嗁; 遞
07-28,7,28,871,152,no,no,0,,5,5,徙; 𢓊; 蓰; 屣; 縰,1,1,徙,5,徙; 𢓊; 蓰; 屣; 縰
07-29,7,29,874,152,no,no,0,,29,20,卑; 俾; 碑; 裨; 髀; 綼; 脾; 陴; 埤; 婢,6,6,卑; 碑; 婢; 庳; 鼙; 稗,20,卑; 俾; 碑; 裨; 髀; 綼; 脾; 陴; 埤; 婢
07-31,7,31,360,153,no,no,0,,3,3,弭; 渳; 麛,0,0,,3,弭; 渳; 麛
07-33,7,33,1240c,153,no,no,0,,1,1,買,1,1,買,1,買
08-01,8,1,854,154,no,no,0,,5,4,毄; 擊; 轚; 繫,3,2,擊; 繫,4,毄; 擊; 轚; 繫
08-02,8,2,855,154,no,no,0,,7,6,鬲; 搹; 膈; 隔; 翮; 鷊,3,2,鬲; 隔,6,鬲; 搹; 膈; 隔; 翮; 鷊
08-03,8,3,1260d,155,no,no,0,,1,1,覡,0,0,,1,覡
08-04,8,4,844,155,no,no,0,,9,7,戹; 厄; 軶; 軛; 扼; 阸; 阨,2,2,厄; 軛,7,戹; 厄; 軶; 軛; 扼; 阸; 阨
08-05,8,5,849,155,no,no,0,,9,7,益; 嗌; 膉; 搤; 鷁; 縊; 隘,6,5,益; 嗌; 膉; 縊; 隘,7,益; 嗌; 膉; 搤; 鷁; 縊; 隘
08-07,8,7,1260f,155,no,no,0,,2,1,砉,0,0,,1,砉
08-08,8,8,851,155,no,no,0,,3,3,役; 垼; 疫,2,2,役; 疫,3,役; 垼; 疫
08-09,8,9,847,155,no,no,0,,4,2,畫; 繣,2,1,畫,2,畫; 繣
08-10,8,10,856,156,no,no,0,,4,4,狄; 荻; 悐; 逖,1,1,狄,4,狄; 荻; 悐; 逖
08-11,8,11,1260c,156,no,no,0,,1,1,隻,1,1,隻,1,隻
08-12,8,12,850,156,no,no,0,,18,12,易; 蜴; 埸; 剔; 惕; 逷; 緆; 裼; 錫; 睗,9,7,舓; 易; 蜴; 剔; 惕; 錫; 賜,13,易; 蜴; 埸; 剔; 惕; 逷; 緆; 裼; 錫; 睗
08-13,8,13,858,156,no,no,0,,5,5,秝; 厤; 歷; 曆; 磿,1,1,歷,5,秝; 厤; 歷; 曆; 磿
08-14,8,14,868,157,no,no,0,,21,17,朿; 刺; 茦; 𧧒; 𨒪; 𧻕; 策; 責; 嘖; 幘,13,9,債; 朿; 刺; 𨒪; 策; 責; 積; 蹟; 績,18,朿; 刺; 茦; 𧧒; 𨒪; 𧻕; 策; 責; 嘖; 幘
08-15,8,15,845,157,no,no,0,,2,2,册; 栅,2,2,册; 栅,2,册; 栅
08-16,8,16,846,157,no,no,0,,1,1,筴,0,0,,1,筴
08-17,8,17,852,157,no,no,0,,5,4,脊; 蹐; 瘠; 膌,1,1,脊,4,脊; 蹐; 瘠; 膌
08-18,8,18,857,158,no,no,0,,4,4,析; 晳; 皙; 淅,2,2,析; 晳,4,析; 晳; 皙; 淅
08-19,8,19,853,158,no,no,0,,20,17,辟; 璧; 躃; 躄; 僻; 擗; 闢; 壁; 澼; 甓,11,10,辟; 璧; 僻; 擗; 壁; 幦; 臂; 譬; 避; 嬖,17,辟; 璧; 躃; 躄; 僻; 擗; 闢; 壁; 澼; 甓
08-21,8,21,859,158,no,no,0,,1,1,鼏,0,0,,1,鼏
08-22,8,22,1260e,158,no,no,0,,1,1,簚,1,1,簚,1,簚
08-24,8,24,848,159,no,no,0,,5,4,脈; 脉; 霢; 覛,2,2,脈; 脉,4,脈; 脉; 霢; 覛
09-01,9,1,831,160,no,no,0,,23,19,巠; 經; 剄; 徑; 涇; 逕; 𥥻; 脛; 陘; 勁,15,13,巠; 經; 剄; 徑; 𥥻; 脛; 陘; 勁; 頸; 輕,19,巠; 經; 剄; 徑; 涇; 逕; 𥥻; 脛; 陘; 勁
09-02,9,2,832; 822,161,no,no,0,,6,6,殸; 磬; 罄; 謦; 馨; 聲,6,6,殸; 磬; 罄; 謦; 馨; 聲,6,殸; 磬; 罄; 謦; 馨; 聲
09-03,9,3,813,161,no,no,0,,13,7,敬; 驚; 儆; 憼; 警; 擎; 檠,3,3,敬; 驚; 警,7,敬; 驚; 儆; 憼; 警; 擎; 檠
09-04,9,4,808,161,no,no,0,,8,8,耕; 刑; 形; 侀; 硎; 鉶; 鈃; 荊,6,5,耕; 刑; 形; 硎; 荊,8,耕; 刑; 形; 侀; 硎; 鉶; 鈃; 荊
09-05,9,5,810,161,no,no,0,,4,4,幸; 倖; 婞; 涬,1,1,幸,4,幸; 倖; 婞; 涬
09-06,9,6,809,161,no,no,0,,2,2,耿; 褧,2,2,耿; 褧,2,耿; 褧
09-07,9,7,828,161,no,no,0,,8,5,頃; 傾; 穎; 熲; 顈,3,3,頃; 傾; 穎,5,頃; 傾; 穎; 熲; 顈
09-08,9,8,842,162,no,no,0,,7,6,冋; 坰; 扃; 駉; 絅; 泂,1,1,扃,6,冋; 坰; 扃; 駉; 絅; 泂
09-09,9,9,843,162,no,no,0,,19,13,熒; 檾; 塋; 榮; 禜; 營; 煢; 縈; 螢; 謍,4,4,罃; 熒; 榮; 營,14,熒; 檾; 塋; 榮; 禜; 營; 煢; 縈; 螢; 謍
09-10,9,10,814,162,no,no,0,,7,7,嬰; 攖; 癭; 纓; 嚶; 鸚; 罌,4,3,嬰; 纓; 罌,7,嬰; 攖; 癭; 纓; 嚶; 鸚; 罌
09-11,9,11,833,162,no,no,0,,18,14,丁; 頂; 汀; 町; 亭; 停; 正; 征; 政; 整,13,10,丁; 汀; 町; 亭; 正; 征; 政; 整; 証; 定,14,丁; 頂; 汀; 町; 亭; 停; 正; 征; 政; 整
09-12,9,12,834,163,no,no,0,,8,6,鼎; 貞; 禎; 偵; 楨; 赬,3,2,鼎; 貞,6,鼎; 貞; 禎; 偵; 楨; 赬
09-13,9,13,363,163,no,no,0,,5,3,奠; 鄭; 躑,0,0,,3,奠; 鄭; 躑
09-14,9,14,818,164,no,no,0,,5,4,成; 城; 誠; 盛,6,4,成; 城; 誠; 盛,4,成; 城; 誠; 盛
09-15,9,15,815,164,no,no,0,,2,2,盈; 楹,1,1,楹,2,盈; 楹
09-16,9,16,816,164,no,no,0,,3,3,嬴; 瀛; 贏,1,1,贏,3,嬴; 瀛; 贏
09-17,9,17,835,164,no,no,0,,29,22,𡈼; 檉; 廷; 聽; 庭; 挺; 梃; 筳; 莛; 霆,8,7,郢; 𡈼; 聽; 呈; 程; 逞; 聖,23,𡈼; 檉; 廷; 聽; 庭; 挺; 梃; 筳; 莛; 霆
09-18,9,18,836,165,no,no,0,,5,5,霝; 𦉢; 蘦; 𧕅; 靈,1,1,靈,5,霝; 𦉢; 蘦; 𧕅; 靈
09-19,9,19,823,165,no,no,0,,17,16,令; 領; 伶; 冷; 囹; 泠; 玲; 笭; 舲; 苓,4,3,令; 領; 零,16,令; 領; 伶; 冷; 囹; 泠; 玲; 笭; 舲; 苓
09-20,9,20,837,165,no,no,0,,5,5,寧; 𡨴; 寍; 濘; 嬣,2,2,甯; 寧,6,寧; 𡨴; 寍; 濘; 嬣; 甯
