gsc_id,rhyme_section,series_number,schuessler_k_tokens,schuessler_source_page,schuessler_cross_reference_only,in_tex,tex_character_count,tex_characters_sample,mand2mc_row_count,mand2mc_character_count,mand2mc_characters_sample,bs_gsr_row_count,bs_gsr_character_count,bs_gsr_characters_sample,combined_source_character_count,combined_source_characters_sample
02-17,2,17,795,94,no,no,0,,13,13,石; 祏; 碩; 鼫; 跖; 磔; 斫; 柘; 拓; 妬,8,8,石; 碩; 斫; 柘; 妬; 妒; 橐; 蠹,13,石; 祏; 碩; 鼫; 跖; 磔; 斫; 柘; 拓; 妬
02-18,2,18,804,94,no,no,0,,5,4,庶; 遮; 摭; 蹠,3,3,庶; 遮; 摭,4,庶; 遮; 摭; 蹠
02-19,2,19,791,94,no,no,0,,2,1,炙,2,1,炙,1,炙
02-20,2,20,794,94,no,no,0,,1,1,尺,1,1,尺,1,尺
02-21,2,21,1258b,94,no,no,0,,1,1,辵,0,0,,1,辵
02-22,2,22,780,94,no,no,0,,9,8,乇; 宅; 託; 秅; 咤; 詫; 侘; 㓃,4,4,乇; 宅; 託; 秅,8,乇; 宅; 託; 秅; 咤; 詫; 侘; 㓃
02-23,2,23,792,95,no,no,0,,9,9,㡿; 斥; 厈; 坼; 𣔳; 柝; 㴑; 泝; 訴,7,7,㡿; 斥; 厈; 坼; 㴑; 泝; 訴,9,㡿; 斥; 厈; 坼; 𣔳; 柝; 㴑; 泝; 訴
02-24,2,24,793,95,no,no,0,,4,3,赤; 赦; 螫,3,3,赤; 赦; 螫,3,赤; 赦; 螫
02-25,2,25,790,95,no,no,0,,22,17,睪; 圛; 懌; 斁; 繹; 譯; 醳; 驛; 𢍰; 𥼶,7,7,譯; 驛; 𥼶; 釋; 檡; 澤; 鐸,17,睪; 圛; 懌; 斁; 繹; 譯; 醳; 驛; 𢍰; 𥼶
02-26,2,26,807,95,no,no,0,,7,4,射; 䠶; 榭; 謝,3,2,射; 謝,4,射; 䠶; 榭; 謝
02-27,2,27,800,96,no,no,0,,10,10,亦; 奕; 帟; 弈; 跡; 迹; 夜; 掖; 腋; 液,6,5,亦; 跡; 迹; 夜; 液,10,亦; 奕; 帟; 弈; 跡; 迹; 夜; 掖; 腋; 液
02-28,2,28,796,96,no,no,0,,2,2,夕; 穸,1,1,夕,2,夕; 穸
