character,in_tex,tex_entry_count,tex_entry_ids,tex_gsr_markers,tex_mc_forms,in_mand2mc,mand2mc_row_count,mand2mc_gsr_values,mand2mc_pinyin_values,mand2mc_mc_nwh_values,in_shengfu,shengfu_row_count,shengfu_phonetic_components,shengfu_component_levels,in_bs_gsr,bs_row_count,bs_gsr_values,bs_pinyin_values,bs_mc_values,bs_oc_values
欇,no,0,,,,no,0,,,,yes,2,聶,1,no,0,,,,
權,no,0,,,,yes,1,0158o,quan2,giwen,yes,1,雈,2,yes,1,0158o,quán,gjwen,*Cə.gror {*Cə.[g]r[o]r}
欋,no,0,,,,no,0,,,,yes,1,䀠,1,no,0,,,,
欐,no,0,,,,yes,1,0878e,li4,leyH,yes,3,麗,1,no,0,,,,
欑,no,0,,,,yes,1,0153j,zan4,dzwan,yes,1,贊,1,no,0,,,,
欒,no,0,,,,yes,1,0178d,luan2,lwan,yes,1,䜌,1,yes,2,0178d,luán,lwan,*mə.rˤon {*[m]ə.rˤon}; *rˤon {*rˤo[n]}
欘,no,0,,,,yes,1,1224u,zhu2,ṭiəwk,yes,2,蜀,1,no,0,,,,
欙,no,0,,,,no,0,,,,yes,1,畾,1,no,0,,,,
欚,no,0,,,,no,0,,,,yes,1,𧰲,1,no,0,,,,
欞,no,0,,,,no,0,,,,yes,1,霝,1,no,0,,,,
欠,no,0,,,,yes,2,0624a,qian4,khiaemH; khiəmH,yes,1,欠,1,yes,1,0624a,qiàn,khjomH,*kʰom-s {*[k]ʰ(r)om-s}
次,no,0,,,,yes,1,0555a,ci4,tshiyH,yes,1,次,1,yes,2,0555a,cì,tshijH,*s-n̥ij-s {*[s-n̥]i[j]-s}
欣,no,0,,,,yes,1,0443i,xin1,hiɨn,yes,1,斤,1,yes,1,0443i,xīn,xj+n,*qʰər
欥,no,0,,,,yes,1,1257c,yu4,yit,yes,1,曰,1,no,0,,,,
欦,no,0,,,,no,0,,,,yes,2,今,1,no,0,,,,
欨,no,0,,,,no,0,,,,yes,2,口,2,no,0,,,,
欪,no,0,,,,no,0,,,,yes,2,出,1,no,0,,,,
欬,no,0,,,,yes,1,0937s,kai4,khəyH,yes,1,亥,1,yes,1,0937s,kài,khojH,*kʰˤək-s
欭,no,0,,,,no,0,,,,yes,1,因,1,no,0,,,,
欮,no,0,,,,yes,1,0301a,jue2,kiwət,yes,1,欮,1,no,0,,,,
欯,no,0,,,,no,0,,,,yes,1,吉,1,no,0,,,,
欱,no,0,,,,no,0,,,,yes,2,合,1,yes,1,-675,hē,xop,*qʰˤəp {*qʰˤ[ə]p}
欲,no,0,,,,yes,1,1202d,yu4,yiəwk,yes,1,谷,1,yes,1,1202d,yù,yowk,*ɢok {*ɢ(r)ok}
欶,no,0,,,,yes,1,1222o,shuo4,ṣaewk,yes,2,束2,1,no,0,,,,
欷,no,0,,,,yes,1,0549d,xi1,xiɨy,yes,2,希,1,no,0,,,,
欸,no,0,,,,yes,1,0938d,ai1,qəy,yes,2,疑,2,no,0,,,,
欹,no,0,,,,no,0,,,,yes,1,可,2,no,0,,,,
欺,no,0,,,,yes,1,0952q,qi1,khi,yes,1,其,1,yes,1,0952q,qī,khi,*kʰə {*kʰ(r)ə}
欻,no,0,,,,no,0,,,,yes,1,欻,1,no,0,,,,
欽,no,0,,,,yes,1,0652f,qin1,khim,yes,1,今,1,no,0,,,,
款,no,0,,,,yes,1,0162a,kuan3,khwanX,yes,1,款,1,no,0,,,,
欿,no,0,,,,yes,1,0672f,kan3,khomX,yes,1,臽,1,yes,3,0672f,kǎn,khomX,*kʰˤomʔ {*[kʰ]ˤomʔ}; *k-r̥ˤəmʔ
歁,no,0,,,,no,0,,,,yes,1,甚,1,no,0,,,,
歂,no,0,,,,no,0,,,,yes,2,耑,1,no,0,,,,
歃,no,0,,,,yes,2,0631c,sha4,ṣeap; ṣiep,yes,2,臿,1,no,0,,,,
歅,no,0,,,,no,0,,,,yes,1,垔,1,no,0,,,,
歆,no,0,,,,yes,1,0653j,xin1,xim,yes,1,音,1,yes,1,0653j,xīn,xim,*qʰəm {*[qʰ](r)əm}
歇,no,0,,,,yes,1,0313u,xie1,hiət,yes,1,曷,1,yes,1,0313u,xiē,xjot,*qʰat
歈,yes,1,10-23,0125a; 0125c; 0125d; 0125f; 0125g; 0125h; 0125i; 0125j; 0125k; 0125l; 0125m; 0125n; 0125o; 0125p; 0125q; 0125r; 0125s; 0125t; 0125u; 0125v,,yes,1,0125t,yu2,duw,yes,2,俞,1,yes,1,0125t,yú,duw,*lˤo
歉,no,0,,,,yes,4,0627e,qian4,kheamH; kheamX; khem; khemX,yes,4,兼,1,no,0,,,,
歊,no,0,,,,no,0,,,,yes,2,高,1,no,0,,,,
歋,no,0,,,,no,0,,,,yes,1,虒,1,no,0,,,,
歌,yes,1,18-01,0001a; 0001d; 0001e; 0001g; 0001i; 0001j; 0001k; 0001m; 0001n; 0001f; 0001o; 0001p; 0001q; 0001r; 0001s; 0001t; 0001u; 0001v; 0001x; 0001y; 0001z; 0001b; 0001c; 0001h,khaX; ka; kanX; kaX; ḫa; {\sil{ꞏ}}a; {\sil{ꞏ}}aX; {\sil{ꞏ}}ieX; ḫaX; gie; kie; gieX; ṅieX; kieH; kieX; khieX; khie; {\sil{ꞏ}}ie,yes,1,0001q,ge1,ka,yes,1,可,2,yes,1,0001q,gē,ka,*kˤaj {*[k]ˤaj}
歍,no,0,,,,no,0,,,,yes,1,烏,1,no,0,,,,
歎,no,0,,,,yes,2,0152c,tan1; tan4,than; thanH,no,0,,,yes,1,0152c,tān,than,*n̥ˤar
歐,no,0,,,,no,0,,,,yes,2,區,1,no,0,,,,
歑,no,0,,,,no,0,,,,yes,1,虍,2,no,0,,,,
歔,yes,1,01-18,0078a; 0078b; 0078c; 0078d; 0078e; 0078g,khiə; hiə; hiəH; giəX,yes,2,0078c,xu1,hiə; hiəH,yes,1,虍,2,no,0,,,,
歕,no,0,,,,yes,2,0437f,pen1; pen4,phwon; phwonH,yes,1,賁,1,no,0,,,,
歖,no,0,,,,no,0,,,,yes,1,喜,1,no,0,,,,
歗,no,0,,,,yes,1,1028g,siao4,sewH,yes,1,肅,1,no,0,,,,
歙,no,0,,,,yes,1,0675s,xi1,xip,yes,2,合,2,yes,1,0675s,xī,xip,*qʰəp {*qʰ(r)[ə]p}
歜,no,0,,,,no,0,,,,yes,2,蜀,1,no,0,,,,
歟,yes,1,01-45,0089a; 0089b; 0089e; 0089f; 0089g; 0089i; 0089j; 0089k; 0089l; 0089n; 0089o,yiəX; yiə; yiəH; ziəX,yes,1,0089e,yu2,yiə,yes,3,舁,1,no,0,,,,
歠,no,0,,,,yes,1,0295i,chuo4,chiwet,yes,1,叕,1,no,0,,,,
歡,no,0,,,,yes,1,0158j,huan1,hwan,yes,1,雈,2,yes,1,0158j,huān,xwan,*qʷʰˤar
止,no,0,,,,yes,1,0961a,zhi3,ciX,yes,1,止,1,yes,1,0961a,zhǐ,tsyiX,*təʔ
正,no,0,,,,yes,2,0833j,zheng1; zheng4,cieṅ; cieṅH,yes,2,正,1,yes,2,0833j,zhēng; zhèng,tsyeng; tsyengH,*C.teŋ; *teŋ-s
此,no,0,,,,yes,1,0358a,ci3,tshieX,yes,1,此,1,yes,1,0358a,cǐ,tshjeX,*tsʰeʔ {*[tsʰ]e(j)ʔ}
步,yes,1,01-65,0073a,buH,yes,1,0073a,bu4,buH,yes,1,步,1,yes,1,0073a,bù,buH,*mə-bˤa-s {*mə-[b]ˤa-s}
武,yes,1,01-71,0104a; 0104f; 0104g,miuX; piuH,yes,1,0104a,wu3,miuX,yes,1,武,1,yes,1,0104a,wǔ,mjuX,*maʔ {*m(r)aʔ}
歧,no,0,,,,yes,1,0864i,qi2,gyie,yes,1,支,1,yes,1,0864i,qí,gjie,*N-ke (dial.: no palatalization)
歫,no,0,,,,no,0,,,,yes,1,巨,1,no,0,,,,
歭,no,0,,,,no,0,,,,yes,1,止,1,no,0,,,,
歱,no,0,,,,no,0,,,,yes,1,東,2,no,0,,,,
歲,no,0,,,,yes,1,0346a,sui4,siweyH,yes,1,戉,1,yes,1,0346a,suì,sjwejH,*s-qʷʰat-s
歷,no,0,,,,yes,1,0858e,li4,lek,yes,1,秝,1,yes,1,0858e,lì,lek,*rˤek {*[r]ˤek}
歸,no,0,,,,yes,1,0570a,gui1,kiwɨy,yes,1,歸,1,yes,1,0570a,guī,kjw+j,*kʷəj {*[k]ʷəj}
歹,no,0,,,,yes,1,0269c,e4,ṅat,no,0,,,no,0,,,,
歺,no,0,,,,yes,1,0269b,e4,ṅat,yes,1,歺,1,no,0,,,,
死,no,0,,,,yes,1,0558a,si3,siyX,yes,1,死,1,yes,1,0558a,sǐ,sijX,*sijʔ
歾,no,0,,,,yes,1,0503k,mo4,mwət,no,0,,,no,0,,,,
歿,no,0,,,,yes,1,0492c,mo4,mwət,yes,1,𠬛,1,yes,1,0492c,mò,mwot,*mˤut
殀,no,0,,,,yes,1,1141f,yao3,qiewX,yes,1,夭,1,no,0,,,,
殁,no,0,,,,no,0,,,,yes,1,𠬛,1,no,0,,,,
殂,yes,1,01-57,0046a; 0046h; 0046i; 0046j; 0046m; 0046n; 0046o; 0046p; 0046q; 0046r; 0046s; 0046t; 0046u; 0046x; 0046y; 0046b; 0046e; 0046d; 0046k; 0046z; 0046v,tshiaeX; tshiə; tsiə; tsiae; tṣae; dziaeX; tsiaeX; tṣaeX; dziəX; tṣiəH; tṣiəX; dẓiəX; tsuX; dzuX; tshu; dzu; tsaṅX; tsu; tsiəH; tṣiə; dẓiəH; dẓiə; tṣhiəX,yes,1,0046j',cu2,dzu,yes,1,且,1,no,0,,,,
殃,no,0,,,,yes,1,0718e,yang1,qiaṅ,yes,1,央,1,yes,1,0718e,yāng,'jang,*ʔaŋ
殄,no,0,,,,yes,1,0453k,tian3,denX,yes,1,㐱,1,yes,1,0453k,tiǎn,denX,*dˤənʔ {*[d]ˤə[n]ʔ}
殆,no,0,,,,yes,1,0976l',dai4,dəyX,yes,1,以,1,yes,1,0976l',dài,dojX,*lˤəʔ
殈,no,0,,,,yes,2,0930c,xu4,hiwiek; xwek,yes,1,血,1,no,0,,,,
殉,no,0,,,,yes,1,0392g,xun4,zwinH,yes,1,勻,1,yes,1,0392g,xùn,zwinH,*s.ɢʷin-s {*s.[ɢ]ʷi[n]-s}
殊,yes,1,10-18,0128a; 0128d; 0128e; 0128f; 0128g; 0128h; 0128k; 0128l; 0128m; 0128p; 0128r; 0128s; 0128t; 0128u,ciu; ṭiu; chiu; jiu; ṭiuwH; tuwH,yes,1,0128s,shu1,jiu,yes,1,朱,1,yes,1,0128s,shū,dzyu,*do {*[d]o}
殍,no,0,,,,yes,2,1233i,piao3,biewX; phiu,yes,3,𠬪; 孚,1,no,0,,,,
殔,no,0,,,,yes,2,0509p,si4; yi4,siyH; yiyH,yes,1,隶,1,no,0,,,,
殖,no,0,,,,yes,1,0919d,zhi2,jik,yes,1,直,1,yes,2,0919d,zhí,dzyik,*m-tək; *N-tək
殗,no,0,,,,no,0,,,,yes,1,甲,2,no,0,,,,
殘,no,0,,,,yes,1,0155c,can2,dzan,yes,1,戔,1,yes,1,0155c,cán,dzan,*dzˤan {*[dz]ˤa[n]}
殙,no,0,,,,no,0,,,,yes,1,昏,1,no,0,,,,
殛,no,0,,,,yes,1,0910d,ji2,kik,yes,1,亟,1,no,0,,,,
殜,no,0,,,,no,0,,,,yes,3,世,1,no,0,,,,
殞,no,0,,,,yes,1,0227e,yun3,hwinX,yes,1,員,1,no,0,,,,
殟,no,0,,,,no,0,,,,yes,2,𥁕,1,no,0,,,,
殠,no,0,,,,yes,1,1041-,xiu3,hiuwX,yes,2,臭,1,no,0,,,,
殣,no,0,,,,yes,1,0480o,jin3,ginH,yes,1,堇,1,yes,1,0480o,jǐn,ginH,*grər-s {*[g]rə[r]-s}
殤,no,0,,,,yes,1,0720k',shang1,śiaṅ,yes,1,昜,1,no,0,,,,
殨,no,0,,,,no,0,,,,yes,1,貴,1,no,0,,,,
殪,no,0,,,,yes,1,0395k,yi4,qeyH,yes,1,壹,1,no,0,,,,
殫,no,0,,,,yes,1,0147g,dan1,tan,yes,1,單,1,no,0,,,,
殬,no,0,,,,yes,1,0790q,du4,tuH,yes,1,睪,1,no,0,,,,
殭,no,0,,,,no,0,,,,yes,1,畺,1,no,0,,,,
殮,no,0,,,,no,0,,,,yes,1,僉,1,no,0,,,,
殯,no,0,,,,yes,1,0389i,bin4,pyinH,yes,1,丏,1,no,0,,,,
殰,no,0,,,,yes,1,1023i,du2,duwk,yes,1,賣,1,no,0,,,,
殲,no,0,,,,yes,1,0620f,jian1,tsiem,yes,1,㦰,1,no,0,,,,
殳,no,0,,,,yes,1,0130a,shu1,jiu,yes,1,殳,1,yes,1,0130a,shū,dzyu,*do {*[d]o}
段,no,0,,,,yes,3,0172a,duan4,dwanH; thwanH; twanH,yes,1,段,1,yes,1,0172a,duàn,twanH,*tˤon-s {*tˤo[n]-s}
殷,no,0,,,,yes,3,0448a,yan1; yin1; yin3,qean; qiɨn; qiɨnX,yes,2,殷,1,yes,3,0448a,yān; yīn,'ean; 'j+n,*ʔˤrər {*ʔˤrə[r]}; *ʔər; *ʔər {*ʔə[r]}
殸,no,0,,,,yes,1,0832a,qing4,kheṅH,yes,1,殸,1,yes,1,0832a,qìng,khengH,*C.qʰˤeŋ-s {*[C.qʰ]ˤeŋ-s}
殹,no,0,,,,yes,1,0589b,yi4,qeyH,yes,1,医,1,no,0,,,,
殺,no,0,,,,yes,2,0319d,shai4; sha1,ṣeayH; ṣeat,yes,2,殺,1,yes,2,0319d,shài; shā,sreajH; sreat,*s<r>at-s; *s<r>at
殼,no,0,,,,yes,1,1226a,que4,khaewk,yes,1,㱿,1,yes,1,1226a,què,khaewk,*kʰˤrok {*[kʰ]ˤrok}
殽,no,0,,,,yes,1,1167e,xiao2,ḫaew,yes,1,爻,1,no,0,,,,
殿,no,0,,,,yes,2,0429d,dian4,denH; tenH,yes,2,𡱂,1,yes,2,0429d,diàn,denH; tenH,*dˤən-s {*[N-t]ˤə[n]-s}; *tˤən-s {*tˤə[n]-s}
毀,no,0,,,,yes,1,0356a,hui3,hiweX,yes,2,毀,1,yes,1,0356a,huǐ,xjweX,*m̥ajʔ {*[m̥](r)ajʔ}
毃,no,0,,,,no,0,,,,yes,1,高,1,no,0,,,,
毄,no,0,,,,yes,1,0854a,ji1,khek,yes,3,𣪠,1,no,0,,,,
毅,no,0,,,,yes,1,0516c,yi4,ṅiɨyH,yes,1,乂,2,no,0,,,,
毆,yes,1,10-10,0122a; 0122c; 0122d; 0122g; 0122h; 0122i; 0122j; 0122k; 0122l; 0122m; 0122n; 0122o; 0122p; 0122q; 0122r,{\sil{ꞏ}}uw; khiu; khiuH; khuw; {\sil{ꞏ}}uwX; {\sil{ꞏ}}uwH; {\sil{ꞏ}}iuX; {\sil{ꞏ}}iuH; chiu; ṭhiu,yes,1,0122j,ou3,quwX,yes,1,區,1,no,0,,,,
毇,no,0,,,,no,0,,,,yes,1,毀,1,no,0,,,,
毈,no,0,,,,no,0,,,,yes,1,段,1,no,0,,,,
毊,no,0,,,,no,0,,,,yes,2,喬,1,no,0,,,,
毋,yes,1,04-64,0107a,miu,yes,1,0107a,wu2,miu,yes,1,母,1,yes,1,0107a,wú,mju,*mo
毌,no,0,,,,no,0,,,,yes,2,毌,1,no,0,,,,
母,no,0,,,,yes,1,0947a,mu3,muwX,yes,1,母,1,yes,1,0947a,mǔ,muwX,*məʔ (? or *mˤoʔ)
每,no,0,,,,yes,3,0947i,mei3,mwəy; mwəyH; mwəyX,yes,2,母,1,yes,1,0947i,měi,mwojX,*mˤəʔ
毐,no,0,,,,no,0,,,,yes,2,毐,1,no,0,,,,
毒,no,0,,,,yes,1,1016a,du2,dəwk,yes,1,毒,1,yes,2,1016a,dú,dowk,*dˤuk {*[d]ˤuk}; *m-dˤuk-s {*m-[d]ˤuk-s}
毓,no,0,,,,yes,1,1021a,yu4,yuwk,yes,1,毓,1,yes,1,1021a,yù,yuwk,*m-quk
比,no,0,,,,yes,4,0566g,pi2; bi4; bi3,byiy; byiyH; pyiyH; pyiyX,yes,5,比,1,yes,2,0566g,bì; bǐ,pjijH; pjijX,*pij-s; *C.pijʔ
毖,no,0,,,,yes,1,0405k,bi4,piyH,yes,1,必,1,yes,1,0405k,bì,pijH,*prit-s {*pri[t]-s}
毗,no,0,,,,yes,1,0566u,pi2,byiy,yes,1,比,1,yes,1,0566u,pí,bjij,*bij {*[b]ij}
毚,no,0,,,,yes,2,0612a,chan2,dẓaem; dẓeam,yes,2,毚,1,no,0,,,,
毛,no,0,,,,yes,1,1137a,mao2,maw,yes,2,毛,1,yes,1,1137a,máo,maw,*C.mˤaw
毣,no,0,,,,no,0,,,,yes,2,毛,1,no,0,,,,
毦,no,0,,,,no,0,,,,yes,1,耳,1,no,0,,,,
毨,no,0,,,,yes,1,0478f,xian3,senX,yes,1,先,1,no,0,,,,
毫,no,0,,,,yes,1,1129m,hao2,ḫaw,yes,1,高,1,yes,1,1129m,háo,haw,*gˤaw {*[g]ˤaw}
毳,no,0,,,,yes,2,0345a,cui4,tshiweyH; tṣhiweyH,yes,2,雪,1,yes,2,0345a,cuì,tshjwejH; tsrhjwejH,*tsʰop-s {*[tsʰ]op-s}; *tsʰ<r>op-s {*[tsʰ]<r>op-s}
毹,no,0,,,,no,0,,,,yes,1,俞,1,no,0,,,,
毻,no,0,,,,no,0,,,,yes,2,隓,1,no,0,,,,
毼,no,0,,,,yes,1,0313e,he2,hat,yes,1,曷,1,no,0,,,,
毾,no,0,,,,no,0,,,,yes,1,𦐇,1,no,0,,,,
氂,no,0,,,,yes,1,0979i,li2,li,yes,2,毛; 𠩺,1,no,0,,,,
氄,no,0,,,,yes,1,1195a,rong2,ñiəwṅ,no,0,,,no,0,,,,
氈,no,0,,,,yes,1,0148l,zhan1,cien,yes,1,旦,2,yes,1,0148l,zhān,tsyen,*tan {*ta[n]}
氍,no,0,,,,no,0,,,,yes,1,䀠,1,no,0,,,,
氏,no,0,,,,yes,1,0867a,shi4,jieX,yes,3,氏,1,yes,1,0867a,shì,dzyeX,*k.deʔ
氐,no,0,,,,yes,2,0590a,di1; di3,tey; teyX,yes,2,氐,1,yes,2,0590a,dī; dǐ,tej; tejX,*tˤij; *tˤijʔ
民,no,0,,,,yes,1,0457a,min2,min,yes,1,民,1,yes,1,0457a,mín,mjin,*miŋ {*mi[ŋ]}
氒,no,0,,,,yes,1,0302a,jue2,kiwət,yes,1,氒,1,no,0,,,,
氓,no,0,,,,yes,1,0742u,meng2,meaṅ,yes,1,亡,1,yes,1,0742u,méng,meang,*mˤriŋ {*mˤr[i]ŋ}
气,no,0,,,,yes,1,0517a,qi4,khiɨyH,yes,1,气,1,yes,1,0517a,qì,khj+jH,*C.qʰəp-s
氛,no,0,,,,yes,1,0471n,fen1,biun,yes,2,分,1,no,0,,,,
氣,no,0,,,,yes,2,0517c,qi4; xi4,khiɨyH; xiɨyH,yes,2,气,1,yes,2,0517c,qì; xì,khj+jH; xj+jH,*kʰəp-s {*[k]ʰəp-s}; *qʰət-s
氤,no,0,,,,no,0,,,,yes,1,因,1,no,0,,,,
氳,no,0,,,,no,0,,,,yes,1,𥁕,1,no,0,,,,
水,no,0,,,,yes,1,0576a,shui3,śiwiyX,yes,1,水,1,yes,1,0576a,shuǐ,sywijX,*s.turʔ (E dialect *-r > *-j)
氶,no,0,,,,yes,1,0896a,zheng3,jiṅ,yes,1,丞,1,no,0,,,,
永,no,0,,,,yes,1,0764a,yong3,ḫiwaeṅX,yes,1,永,1,yes,1,0764a,yǒng,hjwaengX,*ɢʷraŋʔ {*[ɢ]ʷraŋʔ}
氾,no,0,,,,yes,2,0626c,fan4,biəmH; phiəmH,yes,2,㔾,1,no,0,,,,
氿,no,0,,,,yes,1,0992j,gui3,kwiyX,yes,1,九,1,no,0,,,,
汀,no,0,,,,yes,1,0833f,ting1,theṅ,yes,2,丁,1,yes,1,0833f,tīng,theng,*tʰˤeŋ
汁,no,0,,,,yes,1,0686f,zhi1,cip,yes,1,十,1,yes,1,0686f,zhī,tsyip,*t.kəp {*[t.k][ə]p}
求,no,0,,,,yes,1,1066a,qiu2,giuw,yes,1,求,1,yes,1,1066a,qiú,gjuw,*gu {*[g](r)u}
汃,no,0,,,,no,0,,,,yes,2,八,1,no,0,,,,
汋,no,0,,,,yes,2,1120c,zhuo2; yue4,ciak; yak,yes,2,勺,1,yes,1,1120c,yuè,yak,*m-qewk
汍,no,0,,,,no,0,,,,yes,1,夗,2,no,0,,,,
汎,no,0,,,,yes,2,0625f,fan4,biuwṅ; phiəmH,yes,2,凡,1,yes,1,0625f,fàn,bjuwng,*bum {*[b](r)[u]m}
汏,no,0,,,,yes,3,0317f,tai4; tuo2,dayH; thayH; that,yes,2,大,1,no,0,,,,
汐,no,0,,,,no,0,,,,yes,1,夕,1,no,0,,,,
汒,no,0,,,,yes,1,0742p,mang2,maṅ,yes,2,亡,1,no,0,,,,
汔,no,0,,,,yes,1,0517j,qi4,xiɨt,yes,1,气,2,no,0,,,,
汕,no,0,,,,yes,1,0193d,shan4,ṣaenH,yes,2,山,1,no,0,,,,
汗,no,0,,,,yes,1,0139t,han4,hanH,yes,3,干,1,yes,1,0139t,hàn,hanH,*Cə.gˤar-s {*Cə.[g]ˤa[r]-s}
汘,no,0,,,,no,0,,,,yes,1,人,2,no,0,,,,
汙,yes,1,01-23,0097a; 0097b; 0097c; 0097d; 0097h; 0097i; 0097j; 0097k; 0097n; 0097o; 0097p; 0097q; 0097t; 0097u; 0097v; 0097y; 0097z,ḫiu; {\sil{ꞏ}}u; {\sil{ꞏ}}wae; hiuX; ḫiuX; ḫiuH; {\sil{ꞏ}}iu; hiu,yes,1,0097b',wa1,qwae,yes,2,于,1,yes,1,0097b',wā,'wae,*qʷˤra
汛,no,0,,,,no,0,,,,yes,3,卂,1,no,0,,,,
汜,no,0,,,,yes,1,0967i,si4,ziX,yes,1,巳,1,no,0,,,,
汝,yes,1,01-56,0094a; 0094f; 0094j; 0094g; 0094o; 0094p; 0094q; 0094r; 0094s; 0094t; 0094u; 0094l; 0094v; 0094y; 0094z; 0094c; 0094b; 0094d; 0094e,ṇiəH; ṇiəX; ñiəX; ñiə; ṇiə; ñiəH; śiəH; siəH; ṭhiəH; nu; nuX; nuH; ṇae,yes,1,0094j,ru3,ñiəX,yes,1,女,1,yes,1,0094j,rǔ,nyoX,*naʔ
汞,no,0,,,,no,0,,,,yes,1,工,1,no,0,,,,
江,no,0,,,,yes,1,1172v,jiang1,kaewṅ,yes,1,工,1,yes,1,1172v,jiāng,kaewng,*kˤroŋ
池,yes,1,18-09,0004a; 0004f; 0004h; 0004i; 0004j; 0004k; 0004l; 0004m; 0004n; 0004g; 0004q; 0004r; 0004s; 0004t; 0004v; 0004x; 0004y; 0004z; 0004b; 0004c; 0004e; 0004d,tha; da; thaH; yie; jiae; śiae; yaeX; thwa; ḍie; ḍieX; śie; śieX; diyH; deyH; daX; yieX; yieH,yes,1,0004t,chi2,ḍie,yes,2,它,1,yes,1,0004t,chí,drje,*Cə.lraj
污,yes,1,01-23,0097a; 0097b; 0097c; 0097d; 0097h; 0097i; 0097j; 0097k; 0097n; 0097o; 0097p; 0097q; 0097t; 0097u; 0097v; 0097y; 0097z,ḫiu; {\sil{ꞏ}}u; {\sil{ꞏ}}wae; hiuX; ḫiuX; ḫiuH; {\sil{ꞏ}}iu; hiu,yes,2,0097c',wu1; wa1,qu; qwae,no,0,,,yes,1,0097c',wā,'wae,*qʷˤra
汥,no,0,,,,no,0,,,,yes,3,支,1,no,0,,,,
汦,no,0,,,,no,0,,,,yes,1,氏,1,no,0,,,,
汧,no,0,,,,yes,2,0239d,qian1,khen; khenH,yes,2,幵,1,no,0,,,,
汨,no,0,,,,yes,1,0304f,mi4,mek,yes,1,日,1,no,0,,,,
汩,no,0,,,,yes,3,0304f,yu4; hu2; gu3,ḫwit; ḫwət; kwət,yes,2,曰,1,yes,1,0304f,gǔ,kwot,*kˤut {*[k]ˤut}
汪,no,0,,,,yes,1,0739r,wang1,qwaṅ,yes,3,㞷,1,yes,1,0739r,wāng,'wang,*qʷˤaŋ
汭,no,0,,,,yes,1,0695o,rui4,ñiweyH,yes,1,內,1,no,0,,,,
汮,no,0,,,,no,0,,,,yes,2,勻,1,no,0,,,,
汰,no,0,,,,yes,3,0317g,dai4; tai4,dayH; thayH; that,yes,1,大,1,yes,1,0317g,dài,dajH,*lˤat-s {*lˤa[t]-s}
汱,no,0,,,,no,0,,,,yes,1,犬,1,no,0,,,,
汲,no,0,,,,yes,1,0681h,ji2,kip,yes,1,及,1,no,0,,,,
汳,no,0,,,,no,0,,,,yes,1,反,1,no,0,,,,
汴,no,0,,,,no,0,,,,yes,1,弁,1,no,0,,,,
汵,no,0,,,,no,0,,,,yes,1,今,2,no,0,,,,
汶,no,0,,,,yes,2,0475i,wen4; men,miunH; mwon,yes,3,文,1,yes,1,0475i,mén,mwon,*mˤən {*mˤə[n]}
汷,no,0,,,,no,0,,,,yes,1,冬,1,no,0,,,,
汸,no,0,,,,yes,1,0740d',pang1,phaṅ,yes,1,方,1,no,0,,,,
決,no,0,,,,yes,2,0312b,jue2,kwet; hwet,yes,2,夬,1,yes,2,0312b,jué,kwet,*kʷˤet {*[k]ʷˤet}
汽,no,0,,,,no,0,,,,yes,3,气,1,no,0,,,,
汾,no,0,,,,no,0,,,,yes,1,分,1,no,0,,,,
沁,no,0,,,,no,0,,,,yes,1,心,1,no,0,,,,
沂,no,0,,,,no,0,,,,yes,1,斤,1,no,0,,,,
沃,no,0,,,,yes,1,1141l,wo4,qəwk,yes,1,夭,1,no,0,,,,
沄,no,0,,,,no,0,,,,yes,2,云,1,no,0,,,,
沅,no,0,,,,no,0,,,,yes,1,元,1,no,0,,,,
沆,no,0,,,,yes,1,0698f,hang4,haṅX,yes,2,亢,1,no,0,,,,
沇,no,0,,,,yes,1,0468n,yan3,yiwenX,yes,1,允,1,no,0,,,,
沈,no,0,,,,yes,4,0656b,chen2; shen3; chen3?,ḍim; ḍimH; śimX; chimX,yes,3,冘,1,yes,4,0656b,chén; shěn,drim; drimH; syimX,*lrəm {*[l]r[ə]m} ~ *m-lr[ə]m; *lrəm {*[l]r[ə]m}; *lrəm-s {*[l]r[ə]m-s}; *l̥əmʔ {*[l̥][ə]mʔ}
沋,no,0,,,,no,0,,,,yes,1,尤,1,no,0,,,,
沌,no,0,,,,yes,1,0427h,dun4,dwonX,yes,3,屯,1,no,0,,,,
沍,yes,1,01-07,0054a; 0054b; 0054c,ḫuH,yes,1,0054c,hu4,ḫuH,yes,3,互,1,yes,1,0054c,hù,huH,*N-qˤaʔ-s
沐,no,0,,,,yes,1,1212e,mu4,muwk,yes,1,木,1,no,0,,,,
沑,no,0,,,,no,0,,,,yes,2,丑,1,no,0,,,,
沒,no,0,,,,yes,1,0492b,mo4,mwət,yes,1,𠬛,1,no,0,,,,
沓,no,0,,,,yes,1,0677a,ta4,dop,yes,1,沓,1,yes,1,0677a,tà,dop,*m-rˤəp
沔,no,0,,,,yes,1,0247c,mian3,myienX,yes,1,丏,1,yes,1,0247c,miǎn,mjienX,*m.nerʔ
沕,no,0,,,,no,0,,,,yes,2,勿,1,no,0,,,,
沖,no,0,,,,yes,1,1007p,chong1,ḍiuwṅ,yes,1,中,1,no,0,,,,
沘,no,0,,,,no,0,,,,yes,2,比,1,no,0,,,,
沙,yes,1,18-15,0016a; 0016d; 0016e; 0016f,ṣae; sa; swa,yes,1,0016a,sha1,ṣae,yes,2,沙,1,yes,1,0016a,shā,srae,*sˤraj {*[s]ˤraj}
