character,in_tex,tex_entry_count,tex_entry_ids,tex_gsr_markers,tex_mc_forms,in_mand2mc,mand2mc_row_count,mand2mc_gsr_values,mand2mc_pinyin_values,mand2mc_mc_nwh_values,in_shengfu,shengfu_row_count,shengfu_phonetic_components,shengfu_component_levels,in_bs_gsr,bs_row_count,bs_gsr_values,bs_pinyin_values,bs_mc_values,bs_oc_values
㜮,no,0,,,,yes,1,0609h,lan4,lamH,yes,1,監,1,no,0,,,,
㜰,no,0,,,,no,0,,,,yes,2,樂,1,no,0,,,,
㜲,no,0,,,,no,0,,,,yes,1,𦝠,1,no,0,,,,
㜺,no,0,,,,no,0,,,,yes,2,贊,1,no,0,,,,
㜿,no,0,,,,no,0,,,,yes,1,吕,2,no,0,,,,
㝃,no,0,,,,no,0,,,,yes,2,免,1,no,0,,,,
㝅,no,0,,,,yes,1,1226m,gou4,kuwH,yes,2,㱿,1,no,0,,,,
㝌,no,0,,,,yes,1,0993e,jiu4,kiuwH,yes,2,羑; 又,1; 2,yes,1,0993e,jiù,kjuwH,*kʷə-s {*[k]ʷə(ʔ)-s}
㝔,no,0,,,,yes,1,1166z,yao1,qew,no,0,,,no,0,,,,
㝗,no,0,,,,no,0,,,,yes,2,良,1,no,0,,,,
㝣,no,0,,,,no,0,,,,yes,2,丯,1,no,0,,,,
㝥,no,0,,,,no,0,,,,yes,1,米,1,no,0,,,,
㝩,no,0,,,,no,0,,,,yes,2,庚,2,no,0,,,,
㝪,no,0,,,,no,0,,,,yes,2,執,1,no,0,,,,
㝮,no,0,,,,no,0,,,,yes,1,祟,1,no,0,,,,
㝰,no,0,,,,no,0,,,,yes,1,臱,1,no,0,,,,
㝱,no,0,,,,yes,1,0902c,meng4,miuṅH,no,0,,,no,0,,,,
㝲,no,0,,,,no,0,,,,yes,1,侵,1,no,0,,,,
㝼,no,0,,,,no,0,,,,yes,1,于,1,no,0,,,,
㝾,no,0,,,,no,0,,,,yes,2,左,1,no,0,,,,
㝿,no,0,,,,no,0,,,,yes,1,皮,1,no,0,,,,
㞁,no,0,,,,no,0,,,,yes,1,㫐,1,no,0,,,,
㞋,no,0,,,,yes,1,0216a,nian3,ṇienX,no,0,,,no,0,,,,
㞏,no,0,,,,no,0,,,,yes,1,乏,1,no,0,,,,
㞒,no,0,,,,no,0,,,,yes,1,眔,1,no,0,,,,
㞓,no,0,,,,no,0,,,,yes,1,旨,1,no,0,,,,
㞕,no,0,,,,yes,1,1256d,xie4,set,no,0,,,no,0,,,,
㞚,no,0,,,,no,0,,,,yes,3,臿,1,no,0,,,,
㞟,no,0,,,,no,0,,,,yes,2,奠,1,no,0,,,,
㞣,no,0,,,,no,0,,,,yes,2,分,1,no,0,,,,
㞥,no,0,,,,no,0,,,,yes,1,今,2,no,0,,,,
㞦,no,0,,,,no,0,,,,yes,1,几,1,no,0,,,,
㞷,no,0,,,,yes,1,0739i,huang2,hiwaṅX,yes,1,㞷,1,no,0,,,,
㞼,no,0,,,,yes,1,0896d,cheng2,jiṅ,no,0,,,no,0,,,,
㟅,no,0,,,,no,0,,,,yes,3,凶,1,no,0,,,,
㟋,no,0,,,,no,0,,,,yes,1,兌,1,no,0,,,,
㟎,no,0,,,,no,0,,,,yes,2,妥,1,no,0,,,,
㟐,no,0,,,,no,0,,,,yes,2,亡,1,no,0,,,,
㟞,no,0,,,,no,0,,,,yes,1,戔,1,no,0,,,,
㟪,no,0,,,,yes,2,0573d,wei3,qiwɨyX; qwəyX,yes,1,鬼,2,no,0,,,,
㟼,no,0,,,,no,0,,,,yes,1,敖,1,no,0,,,,
㠎,no,0,,,,no,0,,,,yes,2,集,1,no,0,,,,
㠑,no,0,,,,no,0,,,,yes,2,辠,1,no,0,,,,
㠖,no,0,,,,no,0,,,,yes,1,我,2,no,0,,,,
㠧,no,0,,,,no,0,,,,yes,1,麻,1,no,0,,,,
㠭,no,0,,,,no,0,,,,yes,2,展,1,no,0,,,,
㠯,no,0,,,,yes,1,0976a,yi3,yiX,no,0,,,yes,1,0976a,yǐ,yiX,*ləʔ
㠱,no,0,,,,yes,1,0953y,ji4,giX,yes,2,其,1,no,0,,,,
㠲,no,0,,,,no,0,,,,yes,3,匕,1,no,0,,,,
㠴,no,0,,,,no,0,,,,yes,1,刃,1,no,0,,,,
㠷,no,0,,,,no,0,,,,yes,1,及,1,no,0,,,,
㠾,no,0,,,,no,0,,,,yes,1,夗,1,no,0,,,,
㠿,no,0,,,,no,0,,,,yes,1,此,1,no,0,,,,
㡀,no,0,,,,no,0,,,,yes,1,㡀,1,no,0,,,,
㡃,no,0,,,,yes,2,0742h',mang2?; huang1,maṅ; xwaṅ,no,0,,,no,0,,,,
㡄,no,0,,,,no,0,,,,yes,2,勻,1,no,0,,,,
㡆,no,0,,,,no,0,,,,yes,1,亡,1,no,0,,,,
㡇,no,0,,,,no,0,,,,yes,3,𦔮,1,no,0,,,,
㡉,no,0,,,,no,0,,,,yes,1,弦,1,no,0,,,,
㡋,no,0,,,,no,0,,,,yes,1,甲,2,no,0,,,,
㡏,no,0,,,,no,0,,,,yes,2,俞,1,no,0,,,,
㡒,no,0,,,,no,0,,,,yes,3,盾,1,no,0,,,,
㡓,no,0,,,,no,0,,,,yes,1,軍,1,no,0,,,,
㡔,no,0,,,,no,0,,,,yes,3,敄,1,no,0,,,,
㡘,no,0,,,,no,0,,,,yes,1,兼,1,no,0,,,,
㡛,no,0,,,,yes,1,0742i',mang2,maṅ,no,0,,,no,0,,,,
㡜,no,0,,,,no,0,,,,yes,2,祭,1,no,0,,,,
㡞,no,0,,,,no,0,,,,yes,1,婁,1,no,0,,,,
㡨,no,0,,,,no,0,,,,yes,2,㦰,1,no,0,,,,
㡲,no,0,,,,no,0,,,,yes,1,戈,1,no,0,,,,
㡴,no,0,,,,no,0,,,,yes,1,立,1,no,0,,,,
㡿,no,0,,,,yes,1,0792a,chi4,chiek,yes,1,乇,1,yes,1,0792a,chì,tsyhek,*t-qʰak {*t-qʰAk}
㢈,no,0,,,,no,0,,,,yes,1,隹,1,no,0,,,,
㢉,no,0,,,,no,0,,,,yes,3,乇,1,no,0,,,,
㢋,yes,1,18-08,0003a; 0003d; 0003e; 0003f; 0003h; 0003i; 0003j; 0003k; 0003l; 0003m; 0003o; 0003q; 0003r; 0003t,ta; taH; tha; ṭae; ṭhae; cieX; chieX; ṭhieX; chiaeX; ḍie; ḍieX; yie; yieH,yes,1,0003t,chi3,chieX,yes,1,多,1,no,0,,,,
㢙,no,0,,,,yes,1,0480z,qin2,giɨn,no,0,,,no,0,,,,
㢚,no,0,,,,no,0,,,,yes,2,虍,2,no,0,,,,
㢟,no,0,,,,no,0,,,,yes,2,延,1,no,0,,,,
㢮,yes,1,18-09,0004a; 0004f; 0004h; 0004i; 0004j; 0004k; 0004l; 0004m; 0004n; 0004g; 0004q; 0004r; 0004s; 0004t; 0004v; 0004x; 0004y; 0004z; 0004b; 0004c; 0004e; 0004d,tha; da; thaH; yie; jiae; śiae; yaeX; thwa; ḍie; ḍieX; śie; śieX; diyH; deyH; daX; yieX; yieH,yes,1,0004j',chi2,śieX,no,0,,,no,0,,,,
㣇,no,0,,,,no,0,,,,yes,1,㣇,1,no,0,,,,
㣇（隶）,no,0,,,,no,0,,,,yes,1,㣇,1,no,0,,,,
㣈,no,0,,,,yes,1,0509m,si4,siyH,yes,1,㣇,1,no,0,,,,
㣎,no,0,,,,no,0,,,,yes,1,穆,1,no,0,,,,
㣙,no,0,,,,no,0,,,,yes,1,由,1,no,0,,,,
㣤,no,0,,,,no,0,,,,yes,1,戔,1,no,0,,,,
㣫,no,0,,,,no,0,,,,yes,1,東,2,no,0,,,,
㣱,no,0,,,,no,0,,,,yes,1,朿,1,no,0,,,,
㣻,no,0,,,,no,0,,,,yes,1,乂,1,no,0,,,,
㣿,no,0,,,,no,0,,,,yes,3,勺,1,no,0,,,,
㤄,no,0,,,,yes,1,0501e,pei4,phayH,yes,4,巿,1,no,0,,,,
㤅,no,0,,,,no,0,,,,yes,1,旡,1,no,0,,,,
㤉,no,0,,,,no,0,,,,yes,1,牙,1,no,0,,,,
㤕,no,0,,,,no,0,,,,yes,2,出,1,no,0,,,,
㤞,no,0,,,,no,0,,,,yes,1,乇,1,no,0,,,,
㤥,no,0,,,,yes,1,0937i,hai4,həyH,yes,1,亥,1,no,0,,,,
㤨,no,0,,,,no,0,,,,yes,2,共,1,no,0,,,,
㤮,no,0,,,,no,0,,,,yes,2,㞷,1,no,0,,,,
㤲,no,0,,,,no,0,,,,yes,1,夾,1,no,0,,,,
㤿,no,0,,,,no,0,,,,yes,2,甲,2,no,0,,,,
㥄,no,0,,,,no,0,,,,yes,1,夌,1,no,0,,,,
㥆,no,0,,,,no,0,,,,yes,2,隶,1,no,0,,,,
㥋,no,0,,,,no,0,,,,yes,2,衣,1,no,0,,,,
㥏,no,0,,,,no,0,,,,yes,1,典,1,no,0,,,,
㥒,no,0,,,,no,0,,,,yes,1,采,1,no,0,,,,
㥛,no,0,,,,yes,1,0910c,ji2,kik,yes,1,亟,1,no,0,,,,
㥜,no,0,,,,no,0,,,,yes,1,胃,1,no,0,,,,
㥝,no,0,,,,no,0,,,,yes,1,耳,2,no,0,,,,
㥞,no,0,,,,no,0,,,,yes,1,㒸,1,no,0,,,,
㥟,no,0,,,,no,0,,,,yes,1,𧰲,1,no,0,,,,
㥢,no,0,,,,no,0,,,,yes,1,酉,2,no,0,,,,
㥥,no,0,,,,no,0,,,,yes,1,禺,1,no,0,,,,
㥦,no,0,,,,no,0,,,,yes,1,夾,1,no,0,,,,
㥯,no,0,,,,no,0,,,,yes,2,𤔌,1,no,0,,,,
㥴,no,0,,,,no,0,,,,yes,2,虒,1,no,0,,,,
㥶,no,0,,,,yes,1,0908b,se4,sək,yes,1,塞,1,no,0,,,,
㥾,no,0,,,,no,0,,,,yes,2,若,2,no,0,,,,
㦁,no,0,,,,no,0,,,,yes,1,連,1,no,0,,,,
㦇,no,0,,,,no,0,,,,yes,1,鹿,1,no,0,,,,
㦌,no,0,,,,no,0,,,,yes,1,雪,1,no,0,,,,
㦎,no,0,,,,no,0,,,,yes,1,畫,1,no,0,,,,
㦒,no,0,,,,no,0,,,,yes,1,羅,1,no,0,,,,
㦚,no,0,,,,no,0,,,,yes,1,辡,1,no,0,,,,
㦛,no,0,,,,no,0,,,,yes,2,舁,1,no,0,,,,
㦟,no,0,,,,no,0,,,,yes,1,里,2,no,0,,,,
㦣,no,0,,,,no,0,,,,yes,1,衛,1,no,0,,,,
㦤,no,0,,,,yes,1,0395c,yi4,qiyH,no,0,,,yes,2,0395c,yì,'ijH,*ʔrit-s {*[ʔ]ri[t]-s}; *q<r>it-s {*q<r>i[t]-s}
㦰,no,0,,,,yes,1,0620a,jian1,tsiem,yes,1,㦰,1,no,0,,,,
㧁,no,0,,,,no,0,,,,yes,3,盍; 去,1,no,0,,,,
㧊,no,0,,,,no,0,,,,yes,1,巿,1,no,0,,,,
㧓,no,0,,,,no,0,,,,yes,1,瓜,1,no,0,,,,
㧕,no,0,,,,no,0,,,,yes,1,卯,1,no,0,,,,
