source_page_number,source_line_number,character,pinyin,mc_bs,mc_analyzed,oc_bs,gloss,gsr_raw,normalized_gsr,unicode_utf16
7,5,靡,mǐ,mjeX,(m- + -je B),*majʔ {*m(r)ajʔ},"small, tiny",0017h,0017h,U+9761
7,7,腡,luó,lwa,(l- + -wa A),*k.rˤoj,fingerprint,18,18,U+8161
7,9,冎,guǎ,kwaeX,(k- + -wae B),*kʷˤrajʔ,cut meat from the bone,0018a,0018a,U+518E
7,11,咼,wāi,kwaeX,(k- + -wae B),*kʷˤrajʔ,cut meat from the bone,0018a,0018a,U+54BC
7,13,騧,guā,kwae,(k- + -wae A),*kˤroj {*[k]ˤroj},yellow horse with black mouth,0018b,0018b,U+9A27
7,15,蝸,wō,kwae,(k- + -wae A),*k.rˤoj (dial. > *kˤroj),snail,0018c,0018c,U+8778
7,17,過,guō,kwa,(k- + -wa A),*kʷˤaj,to pass,0018e,0018e,U+904E
7,19,過,guō,kwa,(k- + -wa A),*Cə.kʷˤaj,"tough, fibrous (vegetables)",0018e,0018e,U+904E
7,21,過,guò,kwaH,(k- + -wa C),*kʷˤaj-s,to pass; transgress,0018e,0018e,U+904E
7,23,薖,kē,khwa,(kh- + -wa A),*kʷʰˤaj,great,0018h,0018h,U+8596
7,25,化,huà,xwaeH,(x- + -wae C),*qʷʰˤ<r>aj-s,transform,0019a,0019a,U+5316
7,27,貨,huò,xwaH,(x- + -wa C),*qʷʰˤaj-s,"(movable) property, goods",0019c,0019c,U+8CA8
7,29,吪,é,ngwa,(ng- + -wa A),*m-qʷʰˤaj,move; change,0019d,0019d,U+542A
7,31,訛,é,ngwa,(ng- + -wa A),*m-qʷʰˤaj,move; change,0019e,0019e,U+8A1B
7,33,瓦,wǎ,ngwaeX,(ng- + -wae B),*C.ŋʷˤrajʔ {*C.ŋʷˤra[j]ʔ},roof tile,0020a,0020a,U+74E6
7,35,宜,yí,ngje,(ng- + -je A),*ŋaj {*ŋ(r)aj},sacrifice to the deity of the soil (K),0021a,0021a,U+5B9C
7,37,宜,yí,ngje,(ng- + -je A),*ŋaj {*ŋ(r)aj},proper; should,0021a,0021a,U+5B9C
7,39,䖒,xī,xje,(x- + -je A),*ŋ̊ar {*ŋ̊(r)ar},earthenware vessel (SW),0022a,0022a,U+4592
7,41,戲,xì,xjeH,(x- + -je C),*ŋ̊ar-s {*ŋ̊(r)ar-s},"sport, joke",0022b,0022b,U+6232
7,43,离,chī,trhje,(trh- + -je A),*C.r̥aj {*r̥aj},mountain demon,0023a,0023a,U+79BB
8,1,魑,chī,trhje,(trh- + -je A),*r̥aj,demon,0023b,0023b,U+9B51
8,3,螭,chī,trhje,(trh- + -je A),*r̥aj (E. dial. *r̥- > trh-),demon,0023c,0023c,U+87AD
8,5,離,lí,lje,(l- + -je A),*raj {*[r]aj},"meet with, encounter",0023f,0023f,U+96E2
8,7,離,lí,lje,(l- + -je A),*raj {*[r]aj},depart from,0023f,0023f,U+96E2
8,9,離,lì,ljeH,(l- + -je C),*raj-s {*[r]aj-s},reject,0023f,0023f,U+96E2
8,11,罹,lí,lje,(l- + -je A),*raj {*[r]aj},drag into; trouble,0024a,0024a,U+7F79
8,13,皮,pí,bje,(b- + -je A),*m-paj {*m-[p](r)aj},skin,0025a,0025a,U+76AE
8,15,被,bèi,bjeX,(b- + -je B),*m-pajʔ {*m-p(r)ajʔ},cover self with,0025e,0025e,U+88AB
8,17,被,pī,phje,(ph- + -je A),*mə-pʰaj {*mə-pʰ(r)aj},cover oneself with,0025e,0025e,U+88AB
8,19,被,pì,phjeH,(ph- + -je C),*pʰaj-s {*pʰ(r)aj-s},cloak,0025e,0025e,U+88AB
8,21,彼,bǐ,pjeX,(p- + -je B),*pajʔ,that,0025g,0025g,U+5F7C
8,23,陂,bēi,pje,(p- + -je A),*paj {*p(r)a[j]},river bank; dike,0025i,0025i,U+9642
8,25,披,pī,phje,(ph- + -je A),*pʰaj {*pʰ(r)aj},divide,0025j,0025j,U+62AB
8,27,跛,bǒ,paX,(p- + -a B),*pˤajʔ,walk lame,0025m,0025m,U+8DDB
8,29,簸,bò,paH,(p- + -a C),*pˤajʔ-s,winnow (v.),0025n,0025n,U+7C38
8,31,簸,bǒ,paX,(p- + -a B),*pˤajʔ,winnow (v.),0025n,0025n,U+7C38
8,33,破,pò,phaH,(ph- + -a C),*pʰˤaj-s,break (v.),0025o,0025o,U+7834
8,35,婆,pó,ba,(b- + -a A),*bˤaj {*[b]ˤaj},"ba.sa saunter, dance",0025q,0025q,U+5A46
8,37,罷,bà,beaX,(b- + -ea B),*bˤrajʔ {*[b]ˤrajʔ},"stop, cease",0026a,0026a,U+7F77
8,39,罷,pí,bje,(b- + -je A),*braj {*[b]raj},"wear out, exhaust",0026a,0026a,U+7F77
8,41,羆,pí,pje,(p- + -je A),*praj,brown-and-white bear,0026b,0026b,U+7F86
8,43,為,wéi,hjwe,(h- + -jwe A),*ɢʷaj {*ɢʷ(r)aj},"make, do, act as",0027a,0027a,U+70BA
9,1,為,wèi,hjweH,(h- + -jwe C),*ɢʷaj-s {*[ɢ]ʷ(r)aj-s},"for, because",0027a,0027a,U+70BA
9,3,媯,guī,kjwe,(k- + -jwe A),*C.qʷaj {*C.qʷ(r)aj},(place and family name),0027g,0027g,U+5AAF
9,5,偽,wěi,ngjweH,(ng- + -jwe C),*N-ɢʷaj-s {*[N]-ɢʷ(r)aj-s},FALSE,0027k,0027k,U+507D
9,7,譌,é,ngwa,(ng- + -wa A),*m-qʷʰˤaj {*[m]-qʷʰˤaj},FALSE,0027m,0027m,U+8B4C
9,9,虧,kuī,khjwe,(kh- + -jwe A),*kʷʰaj {*[k]ʷʰ(r)aj},diminish,0028a,0028a,U+8667
