source_page_number,source_line_number,character,pinyin,mc_bs,mc_analyzed,oc_bs,gloss,gsr_raw,normalized_gsr,unicode_utf16
43,21,翩,piān,phjien,(ph- + -jien A),*pʰen {*pʰe[n]},"fly, flutter about",0246k,0246k,U+7FE9
43,23,諞,biàn,bjienH,(b- + -jien C),*m-pʰenʔ-s {*[m-pʰ]enʔ-s},glib-tongued,0246m,0246m,U+8ADE
43,25,諞,biàn,bjienX,(b- + -jien B),*m-pʰenʔ {*[m-pʰ]enʔ},insincere words,0246m,0246m,U+8ADE
43,27,眄,miǎn,menX,(m- + -en B),*mˤenʔ {*mˤe[n]ʔ},look askance,0247b,0247b,U+7704
43,29,沔,miǎn,mjienX,(m- + -jien B),*m.nerʔ,richly flowing stream,0247c,0247c,U+6C94
43,31,縣,xuán,hwen,(h- + -wen A),*gʷˤen {*[g]ʷˤe[n]},suspend,0248a,0248a,U+7E23
43,33,縣,xiàn,hwenH,(h- + -wen C),*Cə.gʷˤen-s {*Cə.[g]ʷˤe[n]-s},district,0248a,0248a,U+7E23
43,35,懸,xuán,hwen,(h- + -wen A),*Cə-N-kʷˤen {*Cə-N-kʷˤe[n]},suspend,0248b,0248b,U+61F8
43,37,建,jiàn,kjonH,(k- + -jon C),*kan-s {*[k]a[n]-s},"set up, establish",0249a,0249a,U+5EFA
43,39,言,yán,ngjon,(ng- + -jon A),*ŋan {*ŋa[n]},(a particle),0251a,0251a,U+8A00
43,41,言,yán,ngjon,(ng- + -jon A),*ŋan {*ŋa[n]},"I, we",0251a,0251a,U+8A00
43,43,言,yán,ngjon,(ng- + -jon A),*ŋan {*ŋa[n]},speak; speech,0251a,0251a,U+8A00
44,1,誾,yín,ngin,(ng- + -in A),*ŋrən {*[ŋ]rə[n]} (< uvular?),"affable, reasonable",0251f,0251f,U+8ABE
44,3,鬳,yàn,ngjonH,(ng- + -jon C),*ŋar-s,boiler,0252a,0252a,U+9B33
44,5,甗,yǎn,ngjenH,(ng- + -jen C),*ŋar-s {*ŋ(r)ar-s},boiler,0252d,0252d,U+7517
44,7,甗,yǎn,ngjon,(ng- + -jon A),*ŋar,boiler,0252d,0252d,U+7517
44,9,獻,xiàn,sa,(s- + -a A),*s-ŋˤar,"offer, present",0252e,0252e,U+737B
44,11,獻,xiàn,xjonH,(x- + -jon C),*ŋ̊ar-s,"offer, present",0252e,0252e,U+737B
44,13,巘,yǎn,ngjenX,(ng- + -jen B),*ŋar {*ŋ(r)arʔ},hilltop,0252h,0252h,U+5DD8
44,15,巘,yǎn,ngjonX,(ng- + -jon B),*ŋarʔ,hilltop,0252h,0252h,U+5DD8
44,17,讞,yàn,ngjenH,(ng- + -jen C),*ŋar-s {*ŋ(r)ar-s},announce a verdict,0252i,0252i,U+8B9E
44,19,讞,yàn,ngjet,(ng- + -jet D),*ŋat {*ŋ(r)at},announce a sentence (of a court),0252i,0252i,U+8B9E
44,21,宴,yàn,'enH,('- + -en C),*ʔˤen-s {*ʔˤe[n]-s},feast (n.),0253b,0253b,U+5BB4
44,23,偃,yǎn,'jonX,('- + -jon B),*ʔanʔ {*ʔa[n]ʔ},bend down,0253g,0253g,U+5043
44,25,揠,yà,'eat,('- + -eat D),*ʔˤret {*ʔˤr[e]t},pull up,0253m,0253m,U+63E0
44,27,爰,yuán,hjwon,(h- + -jwon A),*ɢʷan {*ɢʷa[n]},thereupon,0255a,0255a,U+7230
44,29,猨,yuán,hjwon,(h- + -jwon A),*ɢʷan {*[ɢ]ʷa[n]},monkey,0255d,0255d,U+7328
44,31,援,yuán,hjwon,(h- + -jwon A),*ɢʷan {*[ɢ]ʷa[n]},pull up,0255e,0255e,U+63F4
44,33,媛,yuàn,hjwenH,(h- + -jwen C),*ɢʷran-s {*[ɢ]ʷra[n]-s},a beauty,0255g,0255g,U+5A9B
44,35,諼,xuān,xjwon,(x- + -jwon A),*qʷʰan {*qʷʰa[n]},forget,0255k,0255k,U+8AFC
44,37,緩,huǎn,hwanX,(h- + -wan B),*ɢʷˤanʔ {*[ɢ]ʷˤa[n]ʔ},slack; slow,0255l,0255l,U+7DE9
44,39,袁,yuán,hjwon,(h- + -jwon A),*ɢʷan {*[ɢ]ʷa[n]},long robe,0256a,0256a,U+8881
44,41,翾,xuān,xjwien,(x- + -jwien A),*qʷʰen,fly about,0256a',0256a',U+7FFE
44,43,園,yuán,hjwon,(h- + -jwon A),*C.ɢʷan {*C.ɢʷa[n]},garden,0256b,0256b,U+5712
45,1,轅,yuán,hjwon,(h- + -jwon A),*ɢʷan {*[ɢ]ʷa[n]},carriage-pole,0256e,0256e,U+8F45
45,3,遠,yuǎn,hjwonX,(h- + -jwon B),*C.ɢʷanʔ {*C.ɢʷa[n]ʔ},far,0256f,0256f,U+9060
45,5,睘,qióng,hwaen,(h- + -waen A),*ɢʷˤren {*[ɢ]ʷˤren},"turn around, return",0256h,0256h,U+7758
45,7,還,huán,hwaen,(h- + -waen A),*ɢʷˤren {*[ɢ]ʷˤren},agile,0256k,0256k,U+9084
45,9,還,xuán,zjwen,(z- + -jwen A),*s-ɢʷen {*s-[ɢ]ʷen},agile,0256k,0256k,U+9084
45,11,還,xuán,zjwen,(z- + -jwen A),*s-ɢʷen {*s-[ɢ]ʷen},"turn round, return",0256k,0256k,U+9084
45,13,環,huán,hwaen,(h- + -waen A),*C.ɢʷˤren,ring (n.),0256n,0256n,U+74B0
45,15,擐,huàn,hwaenH,(h- + -waen C),*ɢʷˤren-s {*[ɢ]ʷˤren-s},put on clothing,0256u,0256u,U+64D0
45,17,圜,yuán,hjwen,(h- + -jwen A),*ɢʷren {*[ɢ]ʷren},round,0256y,0256y,U+571C
45,19,儇,xuān,xjwien,(x- + -jwien A),*qʷʰen,"nimble, smart",0256z,0256z,U+5107
45,21,元,yuán,ngjwon,(ng- + -jwon A),*ŋon {*[ŋ]o[n]} (< nasal + uvular),head; first,0257a,0257a,U+5143
45,23,玩,wàn,ngwanH,(ng- + -wan C),*ŋˤon-s {*[ŋ]ˤo[n]-s},plaything,0257k,0257k,U+73A9
45,25,翫,wàn,ngwanH,(ng- + -wan C),*ŋˤon-s {*[ŋ]ˤo[n]-s},familiar with,0257l,0257l,U+7FEB
45,27,完,wán,hwan,(h- + -wan A),*ɢˤon {*[ɢ]ˤo[n]},finish (v.),0257m,0257m,U+5B8C
45,29,筦,guǎn,kwanX,(k- + -wan B),*kˤonʔ {*[k]ˤo[n]ʔ},tube; flute,0257r,0257r,U+7B66
45,31,院,yuàn,hjwenH,(h- + -jwen C),*ɢʷran-s {*ɢʷra[n]-s},wall round a courtyard,0257u,0257u,U+9662
45,33,原,yuán,ngjwon,(ng- + -jwon A),*ŋʷar {*[ŋ]ʷar} (< uvular),"spring, source; origin",0258a,0258a,U+539F
45,35,原,yuán,ngjwon,(ng- + -jwon A),*ŋʷar {*[ŋ]ʷar} (< uvular),high plain (n.),0258a,0258a,U+539F
45,37,願,yuàn,ngjwonH,(ng- + -jwon C),*ŋon-s {*[ŋ]o[n]-s} (< nasal plus uvular?),to wish,0258f,0258f,U+9858
45,39,夗,wǎn,'jwonX,('- + -jwon B),*ʔorʔ {*ʔo[r]ʔ},turn over in bed,0260a,0260a,U+5917
45,41,宛,wǎn,'jwonX,('- + -jwon B),*ʔorʔ {*ʔo[r]ʔ},curved; to bend,0260b,0260b,U+5B9B
45,43,怨,yuàn,'jwonH,('- + -jwon C),*ʔor-s {*[ʔ]o[r]-s},resentment,0260c,0260c,U+6028
46,1,苑,yuǎn,'jwonX,('- + -jwon B),*ʔorʔ {*[ʔ]o[r]ʔ},resentment,0260d,0260d,U+82D1
46,3,苑,yuǎn,'jwonX,('- + -jwon B),*ʔorʔ {*[ʔ]o[r]ʔ},park for hunting,0260d,0260d,U+82D1
46,5,婉,wǎn,'jwonX,('- + -jwon B),*ʔorʔ {*[ʔ]o[r]ʔ},beautiful,0260g,0260g,U+5A49
46,7,反,fǎn,baenX,(b- + -aen B),*bˤranʔ {*[b]ˤranʔ},"dignified, grand",0262a,0262a,U+53CD
46,9,反,fǎn,pjonX,(p- + -jon B),*Cə.panʔ,reverse (v.),0262a,0262a,U+53CD
46,11,返,fǎn,pjonX,(p- + -jon B),*Cə.panʔ,return,0262e,0262e,U+8FD4
46,13,阪,bǎn,pjonX,(p- + -jon B),*panʔ {*pa[n]ʔ},"slope, bank",0262g,0262g,U+962A
46,15,飯,fàn,bjonH,(b- + -jon C),*bonʔ-s,cooked rice or millet,0262i,0262i,U+98EF
46,17,飯,fàn,bjonX,(b- + -jon B),*bonʔ {*[b]o[n]ʔ},eat,0262i,0262i,U+98EF
46,19,板,bǎn,paenX,(p- + -aen B),*C.pˤranʔ,"plank, board",0262j,0262j,U+677F
46,21,扳,pān,paen,(p- + -aen A),*pˤran,pull forward,0262m,0262m,U+6273
46,23,煩,fán,bjon,(b- + -jon A),*ban {*[b]a[n]},troubled,0264a,0264a,U+7169
46,25,繁,fán,bjon,(b- + -jon A),*bar {*[b]ar},"abundant, numerous",0265b,0265b,U+7E41
46,27,曼,màn,manH,(m- + -an C),*mˤan-s {*mˤa[n]-s},distant,0266a,0266a,U+66FC
46,29,曼,màn,mjonH,(m- + -jon C),*man-s {*ma[n]-s},"extended, long",0266a,0266a,U+66FC
46,31,蔓,wàn,mjonH,(m- + -jon C),*C.man-s {*C.ma[n]-s},creep; creeping plant,0266d,0266d,U+8513
46,33,慢,màn,maenH,(m- + -aen C),*mˤran-s {*mˤra[n]-s},disrespectful,0266h,0266h,U+6162
46,35,幔,màn,manH,(m- + -an C),*mˤan-s {*mˤa[n]-s},"curtain, tent",0266j,0266j,U+5E54
46,37,漫,màn,manH,(m- + -an C),*mˤan-s {*mˤa[n]-s},"wide, limitless",0266n,0266n,U+6F2B
46,39,萬,wàn,mjonH,(m- + -jon C),*C.man-s {*C.ma[n]-s},10000,0267a,0267a,U+842C
46,41,閼,è,'at,('- + -at D),*qˤat,repress; cease,0270a,0270a,U+95BC
46,43,𦍒,tà,that,(th- + -at D),*l̥ˤat,lam,0271a,0271a,U+26352
47,1,達,dá,dat,(d- + -at D),*Cə.lˤat,arrive at,0271b,0271b,U+9054
47,3,懶,lǎn,lanX,(l- + -an B),*N-kə.rˤanʔ,lazy,272,272,U+61F6
47,5,剌,là,lat,(l- + -at D),*rˤat (~ C.rˤat ?),wicked; spicy,0272a,0272a,U+524C
47,7,賴,lài,lajH,(l- + -aj C),*rˤat-s {*rˤa[t]-s},depend on,0272e,0272e,U+8CF4
47,9,瀨,lài,lajH,(l- + -aj C),*C.rˤat-s {*C.rˤa[t]-s},rapids,0272f,0272f,U+7028
47,11,籟,lài,lajH,(l- + -aj C),*rˤat-s {*rˤa[t]-s},tube,0272g,0272g,U+7C5F
47,13,獺,tǎ,that,(th- + -at D),*r̥ˤat,otter,0272i,0272i,U+737A
47,15,奪,duó,dwat,(d- + -wat D),*Cə.lˤot,seize,0274a,0274a,U+596A
47,17,發,fā,pjot,(p- + -jot D),*Cə.pat,fly forth,0275c,0275c,U+767C
47,19,撥,bō,pat,(p- + -at D),*pˤat,spread out,0275d,0275d,U+64A5
47,21,廢,fèi,pjojH,(p- + -joj C),*pap-s,cast aside,0275f,0275f,U+5EE2
47,23,茇,bá,bat,(b- + -at D),*m-pˤat,halt in the open,0276g,0276g,U+8307
47,25,茇,bá,pat,(p- + -at D),*pˤat,halt in the open,0276g,0276g,U+8307
47,27,拔,bá,beat,(b- + -eat D),*bˤrot {*(Cə.)[b]ˤrot},uproot,0276h,0276h,U+62D4
47,29,紱,fú,pjut,(p- + -jut D),*put,silk band for a seal,0276k,0276k,U+7D31
47,31,祓,fèi,phjut,(ph- + -jut D),*pʰut,CHECK,0276o,0276o,U+7953
47,33,祓,fèi,pjojH,(p- + -joj C),*pot-s {*po[t]-s},expel noxious influences,0276o,0276o,U+7953
47,35,末,mò,mat,(m- + -at D),*mˤat,end of a branch,0277a,0277a,U+672B
47,37,契,qì,khejH,(kh- + -ej C),*kʰˤet-s {*[kʰ]ˤet-s},script notches,0279b,0279b,U+5951
47,39,齧,niè,nget,(ng- + -et D),*m-qʰˤet,gnaw,0279e,0279e,U+9F67
47,41,瘈,jì,kjiejH,(k- + -jiej C),*ket-s {*ke[t]-s} (dial. > k-),mad (dog),0279g,0279g,U+7608
47,43,瘈,zhì,tsyejH,(tsy- + -jej C),*ket-s {*ke[t]-s},mad (dog),0279g,0279g,U+7608
48,1,楔,xiē,set,(s- + -et D),*s.qˤet,wedge put in teeth of corpse,0279i,0279i,U+6954
48,3,潔,jié,ket,(k- + -et D),*kˤet {*[k]ˤet},"pure, purify",0279j,0279j,U+6F54
48,5,軋,yà,'eat,('- + -eat D),*qˤrət,crush,0280a,0280a,U+8ECB
48,7,札,zhá,tsreat,(tsr- + -eat D),*s-qˤrət,"strip (n.), tablet",0280b,0280b,U+672D
48,9,八,bā,peat,(p- + -eat D),*pˤret,eight,0281a,0281a,U+516B
48,11,桀,jié,gjet,(g- + -jet D),*m-k<r>at {*m-[k]<r>at},perch for fowls,0284a,0284a,U+6840
48,13,桀,jié,gjet,(g- + -jet D),*N-k<r>at {*N-[k]<r>at},remarkable; hero,0284a,0284a,U+6840
48,15,桀,jié,kjet,(k- + -jet D),*k<r>at {*[k]<r>at},"lift, raise",0284a,0284a,U+6840
48,17,傑,jié,gjet,(g- + -jet D),*N-k<r>at {*N-[k]<r>at},remarkable; hero,0284b,0284b,U+5091
48,19,闑,niè,nget,(ng- + -et D),*ŋˤet,vertical post or pole,0285c,0285c,U+95D1
48,21,闑,niè,ngjet,(ng- + -jet D),*ŋret {*ŋr[e]t},vertical post,0285c,0285c,U+95D1
48,23,㓷,yì,ngjejH,(ng- + -jej C),*ŋ<r>at-s {*ŋ<r>[a][t]-s},cut off the nose,0285e,0285e,U+34F7
48,25,撤,chè,drjet,(dr- + -jet D),*m-tʰret {*m-tʰr[e]t},"remove, take away",0286b,0286b,U+64A4
48,27,撤,chè,trhjet,(trh- + -jet D),*tʰret {*tʰr[e]t},"remove, take away",0286b,0286b,U+64A4
48,29,徹,chè,drjet,(dr- + -jet D),*m-tʰret {*m-[tʰ]ret},penetrate,0286c,0286c,U+5FB9
48,31,徹,chè,trhjet,(trh- + -jet D),*tʰret {*[tʰ]ret},penetrate,0286c,0286c,U+5FB9
48,33,轍,zhé,drjet,(dr- + -jet D),*dret {*[d]r[e]t},wheel-track,0286e,0286e,U+8F4D
48,35,狾,zhì,tsyejH,(tsy- + -jej C),*ket-s {*ke[t]-s},mad (dog),287,287,U+72FE
48,37,折,dì,dejH,(d- + -ej C),*dˤet-s {*[d]ˤet-s},solitary standing (sc. tree),0287a,0287a,U+6298
48,39,折,shé,dzyet,(dzy- + -jet D),*N-tet,bend (v.i.),0287a,0287a,U+6298
48,41,折,zhé,tsyet,(tsy- + -jet D),*tet,bend; break (v.t.),0287a,0287a,U+6298
48,43,哲,zhé,trjet,(tr- + -jet D),*trat {*tr[a]t},wise,0287c,0287c,U+54F2
49,1,晢,zhé,tsyejH,(tsy- + -jej C),*tat-s {*t[a]t-s},bright,0287j,0287j,U+6662
49,3,晢,zhé,tsyet,(tsy- + -jet D),*tat {*t[a]t},bright,0287j,0287j,U+6662
49,5,誓,shì,dzyejH,(dzy- + -jej C),*dat-s {*[d][a]t-s},swear,0287k,0287k,U+8A93
49,7,逝,shì,dzyejH,(dzy- + -jej C),*dat-s {*[d]at-s},go to,0287m,0287m,U+901D
49,9,舌,shé,zyet,(zy- + -jet D),*mə.lat,tongue,0288a,0288a,U+820C
49,11,設,shè,syet,(sy- + -jet D),*ŋ̊et,set up,0290a,0290a,U+8A2D
49,13,列,liè,ljet,(l- + -jet D),*ret {*[r][e]t},tear apart; rank,0291a,0291a,U+5217
49,15,烈,liè,ljet,(l- + -jet D),*rat {*[r]at},blazing; brilliant,0291d,0291d,U+70C8
49,17,別,bié,bjet,(b- + -jet D),*N-pret,be separated (intr.),0292a,0292a,U+5225
49,19,別,bié,pjet,(p- + -jet D),*pret,separate (tr.),0292a,0292a,U+5225
49,21,烕,xuè,xjwiet,(x- + -jwiet D),*m̥et,"extinguish, destroy",0294a,0294a,U+70D5
49,23,滅,miè,mjiet,(m- + -jiet D),*met,destroy,0294b,0294b,U+6EC5
49,25,叕,zhuó,trjwejH,(tr- + -jwej C),*trot-s,"sew, stitch",0295a,0295a,U+53D5
49,27,啜,chuò,tsyhwet,(tsyh- + -jwet D),*tʰot,"taste, eat, drink (v.)",0295c,0295c,U+555C
49,29,掇,duó,trjwet,(tr- + -jwet D),*trot {*t<r>ot},"pick, gather",0295h,0295h,U+6387
49,31,掇,duó,twat,(t- + -wat D),*tˤot,"pick, gather",0295h,0295h,U+6387
49,33,絕,jué,dzjwet,(dz- + -jwet D),*dzot {*[dz]ot},cut off,0296a,0296a,U+7D55
49,35,雪,xuě,sjwet,(s- + -jwet D),*sot {*[s]ot},snow,0297a,0297a,U+96EA
49,37,刷,shuā,srjwet,(sr- + -jwet D),*srot {*[s]rot} (dial. retains srj-),brush (v.),0298a,0298a,U+5237
49,39,刷,shuā,srwaet,(sr- + -waet D),*srot,brush (v.),0298a,0298a,U+5237
49,41,捋,luō,lwat,(l- + -wat D),*rˤot {*[r]ˤot},"gather, pluck",0299e,0299e,U+634B
49,43,厥,jué,kjwot,(k- + -jwot D),*kot,(3p possessive pronoun),0301c,0301c,U+53A5
50,1,蕨,jué,kjwot,(k- + -jwot D),*Cə.kot,bracken (a kind of edible fern),0301d,0301d,U+8568
50,3,闕,què,khjwot,(kh- + -jwot D),*kʷʰat,tower over gate,0301h,0301h,U+95D5
50,5,刮,guā,kwaet,(k- + -waet D),*kʷˤrat {*[kʷˤ]r[a]t},scrape (v.),0302n,0302n,U+522E
50,7,話,huà,hwaejH,(h- + -waej C),*gʷˤrat-s {*[g]ʷˤrat-s},speak; words,0302o,0302o,U+8A71
50,9,闊,kuò,khwat,(kh- + -wat D),*kʷʰˤat {*[k]ʷʰˤat},widely apart,0302q,0302q,U+95CA
50,11,闊,kuò,khwat,(kh- + -wat D),*kʰˤot {*[k]ʰˤot},(in khet.khwat),0302q,0302q,U+95CA
50,13,戉,yuè,hjwot,(h- + -jwot D),*ɢʷat {*[ɢ]ʷat},a kind of axe,0303a,0303a,U+6209
50,15,鉞,yuè,hjwot,(h- + -jwot D),*ɢʷat {*[ɢ]ʷat},a kind of axe,0303d,0303d,U+925E
50,17,越,yuè,hjwot,(h- + -jwot D),*ɢʷat {*[ɢ]ʷat},pass over,0303e,0303e,U+8D8A
50,19,曰,yuē,hjwot,(h- + -jwot D),*ɢʷat {*[ɢ]ʷat},say,0304a,0304a,U+66F0
50,21,汩,gǔ,kwot,(k- + -wot D),*kˤut {*[k]ˤut},regulate (rivers),0304f,0304f,U+6C69
50,23,粵,yuè,hjwot,(h- + -jwot D),*ɢʷat {*[ɢ]ʷat},"generous, favorable",0305a,0305a,U+7CB5
50,25,月,yuè,ngjwot,(ng- + -jwot D),*ŋʷat {*[ŋ]ʷat},"moon, month",0306a,0306a,U+6708
50,27,刖,yuè,ngwaet,(ng- + -waet D),*ŋʷˤ<r>at {*[ŋ]ʷˤ<r>at},amputate a foot,0306h,0306h,U+5216
50,29,伐,fá,bjot,(b- + -jot D),*m-pat,strike; attack,0307a,0307a,U+4F10
50,31,茷,pèi,bajH,(b- + -aj C),*bˤat-s {*[b]ˤ[a][t]-s},"streamer, flutter",0307f,0307f,U+8337
50,33,罰,fá,bjot,(b- + -jot D),*bat {*[b][a]t},punish,0308a,0308a,U+7F70
50,35,竊,qiè,tshet,(tsh- + -et D),*tsʰˤet {*[tsʰ]ˤet},steal,0309a,0309a,U+7ACA
50,37,蔑,miè,met,(m- + -et D),*mˤet,destroy; not have,0311a,0311a,U+8511
50,39,幭,miè,met,(m- + -et D),*mˤek {*mˤ[e][k]},covering,0311f,0311f,U+5E6D
50,41,韈,wà,mjot,(m- + -jot D),*C.mat {*C.m[a]t},stockings,0311l,0311l,U+97C8
50,43,夬,guài,kwaejH,(k- + -waej C),*kʷˤret-s {*[k]ʷˤret-s},"divide, make a breach",0312a,0312a,U+592C
51,1,決,jué,kwet,(k- + -wet D),*kʷˤet {*[k]ʷˤet},open a passage for a stream,0312b,0312b,U+6C7A
51,3,決,jué,kwet,(k- + -wet D),*kʷˤet {*[k]ʷˤet},open; decide,0312b,0312b,U+6C7A
51,5,袂,mèi,kwet,(k- + -wet D),*k.mˤet (dial. > kw-),sleeve,0312d,0312d,U+8882
51,7,袂,mèi,mjiejH,(m- + -jiej C),*k.met-s,sleeve,0312d,0312d,U+8882
51,9,訣,jué,kwet,(k- + -wet D),*kʷˤet {*[k]ʷˤet},farewell words,0312e,0312e,U+8A23
51,11,缺,quē,khwet,(kh- + -wet D),*Nə-kʷʰˤet {*Nə-[k]ʷʰˤet},break; defective,0312h,0312h,U+7F3A
51,13,快,kuài,khwaejH,(kh- + -waej C),*kʷʰˤret-s {*[k]ʷʰˤret-s},cheerful,0312k,0312k,U+5FEB
51,15,匃,gài,kajH,(k- + -aj C),*kˤat-s {*[k]ˤat-s},beg (v.),0313a,0313a,U+5303
51,17,匃,gài,kat,(k- + -at D),*kˤat {*[k]ˤat},beg (v.),0313a,0313a,U+5303
51,19,曷,hé,hat,(h- + -at D),*gˤat {*[g]ˤat},what,0313d,0313d,U+66F7
51,21,褐,hè,hat,(h- + -at D),*ɢˤat {*[ɢ]ˤat},coarse cloth,0313g,0313g,U+8910
51,23,渴,kě,khat,(kh- + -at D),*Nə-kʰˤat,thirsty,0313j,0313j,U+6E34
51,25,遏,è,'at,('- + -at D),*qˤat,repress; cease,0313l,0313l,U+904F
51,27,揭,jiē,gjet,(g- + -jet D),*m-k<r>at {*m-[k]<r>at},"lift, raise",0313n,0313n,U+63ED
51,29,揭,jiē,gjot,(g- + -jot D),*m-kat {*m-[k]at},lift,0313n,0313n,U+63ED
51,31,揭,jiē,khjejH,(kh- + -jej C),*kʰ<r>at-s {*[k]ʰ<r>at-s},lift up one’s clothes,0313n,0313n,U+63ED
51,33,揭,jiē,khjet,(kh- + -jet D),*kʰ<r>at {*[k]ʰ<r>at},lift,0313n,0313n,U+63ED
51,35,揭,jiē,kjot,(k- + -jot D),*kat {*[k]at},lift,0313n,0313n,U+63ED
51,37,竭,jié,gjet,(g- + -jet D),*N-krat {*N-[k]rat},exhaust (v.),0313r,0313r,U+7AED
51,39,愒,qì,khjet,(kh- + -jet D),*C.qʰrat,to rest,0313s,0313s,U+6112
51,41,歇,xiē,xjot,(x- + -jot D),*qʰat,"cease, rest (v.)",0313u,0313u,U+6B47
51,43,謁,yè,'jot,('- + -jot D),*qat,go to visit,0313x,0313x,U+8B01
52,1,害,hài,hajH,(h- + -aj C),*N-kˤat-s,be hurt (v.i.); injury (n.),0314a,0314a,U+5BB3
52,3,害,hài,hajH,(h- + -aj C),*m-kˤat-s,hurt (v.t.),0314a,0314a,U+5BB3
52,5,犗,jiè,kaejH,(k- + -aej C),*kˤrat-s,castrate,0314c,0314c,U+7297
52,7,割,gē,kat,(k- + -at D),*Cə-kˤat,cut (v.); harm (v.),0314d,0314d,U+5272
52,9,轄,xiá,haet,(h- + -aet D),*gˤrat {*[g]ˤrat},wheel-axle cap with linch-pin,0314f,0314f,U+8F44
52,11,帶,dài,tajH,(t- + -aj C),*C.tˤat-s {*C.tˤa[t]-s},"girdle, strap",0315a,0315a,U+5E36
52,13,泰,tài,thajH,(th- + -aj C),*l̥ˤat-s {*l̥ˤa[t]-s},great,0316a,0316a,U+6CF0
52,15,大,dà,daH,(d- + -a C),*lˤat-s (F!),big,0317a,0317a,U+5927
52,17,大,dà,dajH,(d- + -aj C),*lˤat-s {*lˤa[t]-s},big,0317a,0317a,U+5927
52,19,太,tài,thajH,(th- + -aj C),*l̥ˤat-s {*l̥ˤa[t]-s},great,0317d,0317d,U+592A
52,21,汰,dài,dajH,(d- + -aj C),*lˤat-s {*lˤa[t]-s},wave,0317g,0317g,U+6C70
52,23,杕,dì,dejH,(d- + -ej C),*dˤet-s,solitary-growing (sc. tree),0317j,0317j,U+6755
52,25,殺,shài,sreajH,(sr- + -eaj C),*s<r>at-s,diminish,0319d,0319d,U+6BBA
52,27,殺,shā,sreat,(sr- + -eat D),*s<r>at,kill,0319d,0319d,U+6BBA
52,29,摋,sà,sat,(s- + -at D),*sˤat,to slap from the side,0319g,0319g,U+644B
52,31,敗,bài,baejH,(b- + -aej C),*N-pˤrat-s {*N-pˤra[t]-s},suffer defeat,0320f,0320f,U+6557
52,33,敗,bài,paejH,(p- + -aej C),*pˤrat-s {*pˤra[t]-s},defeat (v.t.),0320f,0320f,U+6557
52,35,會,huì,hwajH,(h- + -waj C),*m-kˤop-s,come together,0321a,0321a,U+6703
52,37,會,kuài,kwajH,(k- + -waj C),*kˤop-s {*[k]ˤop-s},calculate; calculation,0321a,0321a,U+6703
52,39,澮,kuài,kwajH,(k- + -waj C),*kˤop-s {*[k]ˤop-s},"watering channel, drain",0321f,0321f,U+6FAE
52,41,外,wài,ngwajH,(ng- + -waj C),*ŋʷˤat-s {*[ŋ]ʷˤa[t]-s},outside,0322a,0322a,U+5916
52,43,兌,duì,dwajH,(d- + -waj C),*lˤot-s,passage; opening,0324a,0324a,U+514C
53,1,兌,duì,dwajH,(d- + -waj C),*lˤot-s,glad,0324a,0324a,U+514C
53,3,蛻,tuì,thwajH,(th- + -waj C),*l̥ˤot-s,exuviae of insects or reptiles,0324e,0324e,U+86FB
53,5,蛻,yuè,ywet,(y- + -jwet D),*lot,exuviae of insects or reptiles,0324e,0324e,U+86FB
53,7,銳,ruì,ywejH,(y- + -jwej C),*lot-s,sharp,0324f,0324f,U+92B3
53,9,帨,shuì,sywejH,(sy- + -jwej C),*l̥ot-s,kerchief,0324g,0324g,U+5E28
53,11,帨,shuì,tshjwejH,(tsh- + -jwej C),*s.l̥ot-s,kerchief,0324g,0324g,U+5E28
53,13,稅,shuì,sywejH,(sy- + -jwej C),*l̥ot-s,tax,0324i,0324i,U+7A05
53,15,挩,tuō,thwat,(th- + -wat D),*l̥ˤot,"peel off, take off",0324l,0324l,U+6329
53,17,脫,tuō,dwajH,(d- + -waj C),*lˤot-s,"easy, leisurely",0324m,0324m,U+812B
53,19,脫,tuō,dwat,(d- + -wat D),*lˤot,remove outer covering,0324m,0324m,U+812B
53,21,脫,tuō,thwat,(th- + -wat D),*mə-l̥ˤot,peel off,0324m,0324m,U+812B
53,23,悅,yuè,ywet,(y- + -jwet D),*lot,pleased,0324o,0324o,U+6085
53,25,閱,yuè,ywet,(y- + -jwet D),*lot,"count, sum up",0324p,0324p,U+95B1
53,27,閱,yuè,ywet,(y- + -jwet D),*lot,inspect,0324p,0324p,U+95B1
53,29,說,shuì,sywejH,(sy- + -jwej C),*l̥ot-s,exhort,0324q,0324q,U+8AAA
53,31,說,shuō,sywet,(sy- + -jwet D),*l̥ot,"speak, explain",0324q,0324q,U+8AAA
53,33,說,yuè,ywet,(y- + -jwet D),*lot,pleased,0324q,0324q,U+8AAA
53,35,最,zuì,tswajH,(ts- + -waj C),*tsˤot-s {*[ts]ˤot-s},collect; most,0325a,0325a,U+6700
53,37,嘬,chuài,tsrhwaejH,(tsrh- + -waej C),*tsʰˤrot-s {*[tsʰ]ˤrot-s},"bite, eat",0325d,0325d,U+562C
53,39,撮,cuō,tshwat,(tsh- + -wat D),*tsʰˤot {*[tsʰ]ˤot},pinch; a pinch,0325e,0325e,U+64AE
53,41,蠆,chài,trhaejH,(trh- + -aej C),*mə-r̥ˤat-s {*mə-r̥ˤa[t]-s},scorpion,0326a,0326a,U+8806
53,43,介,jiè,keajH,(k- + -eaj C),*kˤrep-s {*kˤr[e][p]-s},armour; scale of animals,0327a,0327a,U+4ECB
